Dataset:     Concrete Compressive Strength
Abstract:    Concrete is the most important material in civil engineering. The concrete compressive strength is a highly nonlinear function of age and ingredients. 
Authors:     I-Cheng Yeh
URL:         https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength

# Samples:   1030 (no missing values)
# Features:  8
# Classes:   845
2.33              1 (0.10%)
3.32              1 (0.10%)
4.57              1 (0.10%)
4.78              1 (0.10%)
4.83              1 (0.10%)
4.9               1 (0.10%)
6.27              1 (0.10%)
6.28              1 (0.10%)
6.47              1 (0.10%)
6.81              1 (0.10%)
6.88              1 (0.10%)
6.9               1 (0.10%)
6.94              1 (0.10%)
7.32              1 (0.10%)
7.4               1 (0.10%)
7.51              1 (0.10%)
7.68              1 (0.10%)
7.72              1 (0.10%)
7.75              1 (0.10%)
7.84              1 (0.10%)
8.0               1 (0.10%)
8.06              1 (0.10%)
8.2               1 (0.10%)
8.37              1 (0.10%)
8.49              1 (0.10%)
8.54              2 (0.19%)
9.01              1 (0.10%)
9.13              1 (0.10%)
9.31              1 (0.10%)
9.45              1 (0.10%)
9.56              1 (0.10%)
9.62              1 (0.10%)
9.69              1 (0.10%)
9.73              1 (0.10%)
9.74              2 (0.19%)
9.85              1 (0.10%)
9.87              1 (0.10%)
9.99              1 (0.10%)
10.03             1 (0.10%)
10.09             1 (0.10%)
10.22             1 (0.10%)
10.34             1 (0.10%)
10.35             1 (0.10%)
10.38             1 (0.10%)
10.39             1 (0.10%)
10.54             2 (0.19%)
10.73             1 (0.10%)
10.76             1 (0.10%)
10.79             1 (0.10%)
11.17             1 (0.10%)
11.36             1 (0.10%)
11.39             1 (0.10%)
11.41             1 (0.10%)
11.47             2 (0.19%)
11.48             1 (0.10%)
11.58             1 (0.10%)
11.65             1 (0.10%)
11.85             1 (0.10%)
11.96             1 (0.10%)
11.98             1 (0.10%)
12.05             1 (0.10%)
12.18             3 (0.29%)
12.25             1 (0.10%)
12.37             1 (0.10%)
12.45             1 (0.10%)
12.46             2 (0.19%)
12.47             1 (0.10%)
12.54             1 (0.10%)
12.55             1 (0.10%)
12.64             1 (0.10%)
12.73             1 (0.10%)
12.79             1 (0.10%)
12.84             1 (0.10%)
13.09             1 (0.10%)
13.12             1 (0.10%)
13.18             1 (0.10%)
13.2              2 (0.19%)
13.22             1 (0.10%)
13.29             2 (0.19%)
13.33             1 (0.10%)
13.36             1 (0.10%)
13.4              1 (0.10%)
13.46             2 (0.19%)
13.52             2 (0.19%)
13.54             1 (0.10%)
13.57             1 (0.10%)
13.62             1 (0.10%)
13.66             1 (0.10%)
13.71             1 (0.10%)
13.82             1 (0.10%)
14.14             1 (0.10%)
14.2              2 (0.19%)
14.31             1 (0.10%)
14.4              1 (0.10%)
14.5              1 (0.10%)
14.54             1 (0.10%)
14.59             1 (0.10%)
14.6              1 (0.10%)
14.64             1 (0.10%)
14.7              1 (0.10%)
14.8              1 (0.10%)
14.84             1 (0.10%)
14.94             1 (0.10%)
14.99             2 (0.19%)
15.03             1 (0.10%)
15.04             1 (0.10%)
15.05             1 (0.10%)
15.07             1 (0.10%)
15.09             2 (0.19%)
15.34             2 (0.19%)
15.36             1 (0.10%)
15.42             2 (0.19%)
15.44             1 (0.10%)
15.52             2 (0.19%)
15.53             1 (0.10%)
15.57             2 (0.19%)
15.58             1 (0.10%)
15.61             1 (0.10%)
15.62             1 (0.10%)
15.69             1 (0.10%)
15.75             1 (0.10%)
15.82             1 (0.10%)
15.87             1 (0.10%)
16.11             1 (0.10%)
16.26             1 (0.10%)
16.28             1 (0.10%)
16.5              2 (0.19%)
16.88             1 (0.10%)
16.89             1 (0.10%)
17.17             1 (0.10%)
17.2              1 (0.10%)
17.22             1 (0.10%)
17.24             2 (0.19%)
17.28             1 (0.10%)
17.34             1 (0.10%)
17.37             1 (0.10%)
17.44             1 (0.10%)
17.54             3 (0.29%)
17.57             1 (0.10%)
17.58             1 (0.10%)
17.6              1 (0.10%)
17.82             1 (0.10%)
17.84             1 (0.10%)
17.95             1 (0.10%)
17.96             2 (0.19%)
18.0              1 (0.10%)
18.02             1 (0.10%)
18.03             2 (0.19%)
18.13             3 (0.29%)
18.2              1 (0.10%)
18.28             1 (0.10%)
18.29             1 (0.10%)
18.42             1 (0.10%)
18.75             1 (0.10%)
18.91             1 (0.10%)
19.01             2 (0.19%)
19.11             1 (0.10%)
19.2              1 (0.10%)
19.35             1 (0.10%)
19.42             2 (0.19%)
19.52             1 (0.10%)
19.54             1 (0.10%)
19.69             2 (0.19%)
19.77             2 (0.19%)
19.93             1 (0.10%)
19.99             2 (0.19%)
20.08             1 (0.10%)
20.28             1 (0.10%)
20.42             1 (0.10%)
20.59             1 (0.10%)
20.73             2 (0.19%)
20.77             1 (0.10%)
20.87             1 (0.10%)
20.92             1 (0.10%)
20.97             1 (0.10%)
21.02             1 (0.10%)
21.06             1 (0.10%)
21.07             1 (0.10%)
21.16             1 (0.10%)
21.18             1 (0.10%)
21.26             1 (0.10%)
21.29             1 (0.10%)
21.48             1 (0.10%)
21.5              1 (0.10%)
21.54             1 (0.10%)
21.6              1 (0.10%)
21.65             1 (0.10%)
21.75             1 (0.10%)
21.78             1 (0.10%)
21.82             1 (0.10%)
21.86             2 (0.19%)
21.91             2 (0.19%)
21.92             1 (0.10%)
21.95             1 (0.10%)
21.97             1 (0.10%)
22.14             1 (0.10%)
22.32             1 (0.10%)
22.35             1 (0.10%)
22.44             2 (0.19%)
22.49             1 (0.10%)
22.5              1 (0.10%)
22.53             1 (0.10%)
22.63             1 (0.10%)
22.72             1 (0.10%)
22.75             1 (0.10%)
22.84             1 (0.10%)
22.9              1 (0.10%)
22.93             1 (0.10%)
22.95             1 (0.10%)
23.08             1 (0.10%)
23.14             1 (0.10%)
23.22             1 (0.10%)
23.25             1 (0.10%)
23.35             1 (0.10%)
23.4              1 (0.10%)
23.51             1 (0.10%)
23.52             4 (0.39%)
23.64             1 (0.10%)
23.69             1 (0.10%)
23.7              1 (0.10%)
23.74             2 (0.19%)
23.79             2 (0.19%)
23.8              1 (0.10%)
23.84             2 (0.19%)
23.85             1 (0.10%)
23.89             1 (0.10%)
24.0              2 (0.19%)
24.05             1 (0.10%)
24.07             1 (0.10%)
24.1              2 (0.19%)
24.13             1 (0.10%)
24.24             1 (0.10%)
24.28             2 (0.19%)
24.29             1 (0.10%)
24.34             1 (0.10%)
24.39             1 (0.10%)
24.4              2 (0.19%)
24.43             1 (0.10%)
24.44             1 (0.10%)
24.45             1 (0.10%)
24.48             1 (0.10%)
24.5              1 (0.10%)
24.54             1 (0.10%)
24.58             1 (0.10%)
24.66             1 (0.10%)
24.85             1 (0.10%)
24.89             1 (0.10%)
24.9              1 (0.10%)
24.92             1 (0.10%)
24.99             1 (0.10%)
25.02             1 (0.10%)
25.08             1 (0.10%)
25.1              2 (0.19%)
25.12             1 (0.10%)
25.18             3 (0.29%)
25.2              1 (0.10%)
25.22             1 (0.10%)
25.37             1 (0.10%)
25.42             1 (0.10%)
25.45             1 (0.10%)
25.46             1 (0.10%)
25.48             1 (0.10%)
25.51             1 (0.10%)
25.56             2 (0.19%)
25.57             1 (0.10%)
25.61             1 (0.10%)
25.62             1 (0.10%)
25.69             1 (0.10%)
25.72             1 (0.10%)
25.73             1 (0.10%)
25.75             1 (0.10%)
25.89             1 (0.10%)
25.97             1 (0.10%)
26.05             1 (0.10%)
26.06             2 (0.19%)
26.14             1 (0.10%)
26.15             1 (0.10%)
26.2              1 (0.10%)
26.23             2 (0.19%)
26.26             1 (0.10%)
26.31             1 (0.10%)
26.32             1 (0.10%)
26.4              1 (0.10%)
26.74             1 (0.10%)
26.77             1 (0.10%)
26.85             1 (0.10%)
26.86             2 (0.19%)
26.91             1 (0.10%)
26.92             2 (0.19%)
26.94             1 (0.10%)
26.97             1 (0.10%)
27.04             1 (0.10%)
27.22             1 (0.10%)
27.23             1 (0.10%)
27.34             1 (0.10%)
27.42             1 (0.10%)
27.53             1 (0.10%)
27.63             1 (0.10%)
27.66             1 (0.10%)
27.68             2 (0.19%)
27.74             1 (0.10%)
27.77             1 (0.10%)
27.83             1 (0.10%)
27.87             1 (0.10%)
27.92             2 (0.19%)
27.94             1 (0.10%)
28.02             1 (0.10%)
28.1              1 (0.10%)
28.24             1 (0.10%)
28.3              1 (0.10%)
28.47             1 (0.10%)
28.6              1 (0.10%)
28.63             3 (0.29%)
28.68             1 (0.10%)
28.8              1 (0.10%)
28.94             1 (0.10%)
28.99             2 (0.19%)
29.0              1 (0.10%)
29.07             2 (0.19%)
29.16             1 (0.10%)
29.22             1 (0.10%)
29.23             1 (0.10%)
29.39             1 (0.10%)
29.41             1 (0.10%)
29.45             1 (0.10%)
29.55             2 (0.19%)
29.59             2 (0.19%)
29.65             1 (0.10%)
29.72             1 (0.10%)
29.73             1 (0.10%)
29.75             1 (0.10%)
29.79             1 (0.10%)
29.87             2 (0.19%)
29.89             1 (0.10%)
29.93             1 (0.10%)
29.98             1 (0.10%)
30.08             1 (0.10%)
30.12             2 (0.19%)
30.14             1 (0.10%)
30.22             1 (0.10%)
30.23             1 (0.10%)
30.28             1 (0.10%)
30.39             1 (0.10%)
30.44             1 (0.10%)
30.45             1 (0.10%)
30.57             1 (0.10%)
30.65             1 (0.10%)
30.85             1 (0.10%)
30.88             1 (0.10%)
30.96             1 (0.10%)
31.02             1 (0.10%)
31.03             1 (0.10%)
31.12             1 (0.10%)
31.18             2 (0.19%)
31.25             1 (0.10%)
31.27             1 (0.10%)
31.35             4 (0.39%)
31.38             1 (0.10%)
31.42             2 (0.19%)
31.45             1 (0.10%)
31.54             1 (0.10%)
31.64             1 (0.10%)
31.65             1 (0.10%)
31.72             1 (0.10%)
31.74             1 (0.10%)
31.81             1 (0.10%)
31.84             1 (0.10%)
31.87             1 (0.10%)
31.88             1 (0.10%)
31.9              1 (0.10%)
31.97             2 (0.19%)
32.01             1 (0.10%)
32.04             1 (0.10%)
32.05             1 (0.10%)
32.07             1 (0.10%)
32.1              1 (0.10%)
32.11             1 (0.10%)
32.24             1 (0.10%)
32.25             1 (0.10%)
32.33             1 (0.10%)
32.4              2 (0.19%)
32.53             1 (0.10%)
32.63             1 (0.10%)
32.66             1 (0.10%)
32.72             3 (0.29%)
32.76             1 (0.10%)
32.77             1 (0.10%)
32.82             1 (0.10%)
32.84             1 (0.10%)
32.85             1 (0.10%)
32.88             1 (0.10%)
32.9              1 (0.10%)
32.92             1 (0.10%)
32.96             2 (0.19%)
33.0              1 (0.10%)
33.01             1 (0.10%)
33.02             1 (0.10%)
33.04             1 (0.10%)
33.05             1 (0.10%)
