Dataset:     Energy Efficiency
Abstract:    This study looked into assessing the heating load and cooling load requirements of buildings (that is, energy efficiency) as a function of building parameters.
Authors:     Athanasios Tsanas, Angeliki Xifara
URL:         https://archive.ics.uci.edu/dataset/242/energy+efficiency

# Samples:   768 (no missing values)
# Features:  8
# Classes:   586
6.01              1 (0.13%)
6.04              1 (0.13%)
6.05              1 (0.13%)
6.07              1 (0.13%)
6.37              2 (0.26%)
6.4               2 (0.26%)
6.77              1 (0.13%)
6.79              1 (0.13%)
6.81              1 (0.13%)
6.85              1 (0.13%)
7.1               3 (0.39%)
7.18              1 (0.13%)
8.45              1 (0.13%)
8.49              1 (0.13%)
8.5               1 (0.13%)
8.6               1 (0.13%)
10.07             1 (0.13%)
10.08             1 (0.13%)
10.14             1 (0.13%)
10.15             1 (0.13%)
10.32             1 (0.13%)
10.34             2 (0.26%)
10.35             1 (0.13%)
10.36             2 (0.26%)
10.37             1 (0.13%)
10.38             1 (0.13%)
10.39             3 (0.39%)
10.42             1 (0.13%)
10.43             1 (0.13%)
10.45             1 (0.13%)
10.46             1 (0.13%)
10.47             1 (0.13%)
10.53             1 (0.13%)
10.54             1 (0.13%)
10.55             1 (0.13%)
10.56             1 (0.13%)
10.64             1 (0.13%)
10.66             1 (0.13%)
10.67             1 (0.13%)
10.68             4 (0.52%)
10.7              3 (0.39%)
10.71             1 (0.13%)
10.72             2 (0.26%)
10.75             1 (0.13%)
10.77             2 (0.26%)
10.78             1 (0.13%)
10.8              1 (0.13%)
10.85             1 (0.13%)
11.07             1 (0.13%)
11.09             1 (0.13%)
11.1              1 (0.13%)
11.11             2 (0.26%)
11.13             1 (0.13%)
11.14             2 (0.26%)
11.16             3 (0.39%)
11.18             1 (0.13%)
11.2              1 (0.13%)
11.21             1 (0.13%)
11.22             3 (0.39%)
11.32             1 (0.13%)
11.33             2 (0.26%)
11.34             2 (0.26%)
11.38             1 (0.13%)
11.42             2 (0.26%)
11.43             2 (0.26%)
11.44             1 (0.13%)
11.45             2 (0.26%)
11.46             1 (0.13%)
11.49             1 (0.13%)
11.53             1 (0.13%)
11.59             1 (0.13%)
11.6              1 (0.13%)
11.61             1 (0.13%)
11.64             1 (0.13%)
11.67             1 (0.13%)
11.68             1 (0.13%)
11.69             3 (0.39%)
11.7              1 (0.13%)
11.8              1 (0.13%)
11.98             1 (0.13%)
12.02             1 (0.13%)
12.03             1 (0.13%)
12.1              1 (0.13%)
12.12             3 (0.39%)
12.16             1 (0.13%)
12.17             1 (0.13%)
12.18             2 (0.26%)
12.19             2 (0.26%)
12.2              1 (0.13%)
12.25             1 (0.13%)
12.27             2 (0.26%)
12.28             2 (0.26%)
12.29             1 (0.13%)
12.3              2 (0.26%)
12.31             1 (0.13%)
12.32             1 (0.13%)
12.33             1 (0.13%)
12.34             1 (0.13%)
12.35             1 (0.13%)
12.36             1 (0.13%)
12.41             2 (0.26%)
12.42             1 (0.13%)
12.43             3 (0.39%)
12.45             2 (0.26%)
12.46             1 (0.13%)
12.47             2 (0.26%)
12.49             2 (0.26%)
12.5              1 (0.13%)
12.57             2 (0.26%)
12.59             1 (0.13%)
12.62             1 (0.13%)
12.63             3 (0.39%)
12.65             1 (0.13%)
12.67             1 (0.13%)
12.68             1 (0.13%)
12.71             1 (0.13%)
12.72             1 (0.13%)
12.73             3 (0.39%)
12.74             2 (0.26%)
12.76             1 (0.13%)
12.77             1 (0.13%)
12.78             2 (0.26%)
12.8              1 (0.13%)
12.82             1 (0.13%)
12.84             1 (0.13%)
12.85             2 (0.26%)
12.86             2 (0.26%)
12.87             1 (0.13%)
12.88             1 (0.13%)
12.91             1 (0.13%)
12.92             1 (0.13%)
12.93             4 (0.52%)
12.95             3 (0.39%)
12.96             1 (0.13%)
12.97             3 (0.39%)
13.0              5 (0.65%)
13.01             1 (0.13%)
13.02             2 (0.26%)
13.04             2 (0.26%)
13.05             1 (0.13%)
13.17             2 (0.26%)
13.18             2 (0.26%)
13.68             1 (0.13%)
13.69             1 (0.13%)
13.78             1 (0.13%)
13.86             2 (0.26%)
13.91             1 (0.13%)
13.94             1 (0.13%)
13.95             1 (0.13%)
13.97             1 (0.13%)
13.99             2 (0.26%)
14.03             1 (0.13%)
14.07             1 (0.13%)
14.08             1 (0.13%)
14.1              1 (0.13%)
14.12             1 (0.13%)
14.16             1 (0.13%)
14.17             1 (0.13%)
14.18             1 (0.13%)
14.19             1 (0.13%)
14.21             1 (0.13%)
14.22             1 (0.13%)
14.28             1 (0.13%)
14.32             2 (0.26%)
14.33             3 (0.39%)
14.34             2 (0.26%)
14.37             2 (0.26%)
14.39             1 (0.13%)
14.4              1 (0.13%)
14.41             1 (0.13%)
14.42             2 (0.26%)
14.44             1 (0.13%)
14.45             1 (0.13%)
14.47             1 (0.13%)
14.48             1 (0.13%)
14.5              3 (0.39%)
14.51             2 (0.26%)
14.52             1 (0.13%)
14.53             1 (0.13%)
14.54             2 (0.26%)
14.55             1 (0.13%)
14.56             1 (0.13%)
14.58             1 (0.13%)
14.6              4 (0.52%)
14.61             3 (0.39%)
14.62             2 (0.26%)
14.65             1 (0.13%)
14.66             3 (0.39%)
14.7              3 (0.39%)
14.71             3 (0.39%)
14.72             1 (0.13%)
14.75             1 (0.13%)
14.9              1 (0.13%)
14.92             2 (0.26%)
14.96             1 (0.13%)
15.08             1 (0.13%)
15.09             4 (0.52%)
15.12             3 (0.39%)
15.16             6 (0.78%)
15.18             2 (0.26%)
15.19             2 (0.26%)
15.2              1 (0.13%)
15.21             1 (0.13%)
15.23             4 (0.52%)
15.29             2 (0.26%)
15.3              2 (0.26%)
15.32             1 (0.13%)
15.34             3 (0.39%)
15.36             3 (0.39%)
15.37             1 (0.13%)
15.4              1 (0.13%)
15.41             2 (0.26%)
15.42             1 (0.13%)
15.55             4 (0.52%)
15.98             1 (0.13%)
16.35             1 (0.13%)
16.44             2 (0.26%)
16.47             1 (0.13%)
16.48             1 (0.13%)
16.54             1 (0.13%)
16.55             1 (0.13%)
16.56             1 (0.13%)
16.62             1 (0.13%)
16.64             1 (0.13%)
16.66             1 (0.13%)
16.69             1 (0.13%)
16.73             1 (0.13%)
16.74             1 (0.13%)
16.76             2 (0.26%)
16.77             1 (0.13%)
16.83             1 (0.13%)
16.84             1 (0.13%)
16.86             2 (0.26%)
16.9              1 (0.13%)
16.92             1 (0.13%)
16.93             1 (0.13%)
16.94             1 (0.13%)
16.95             1 (0.13%)
16.99             1 (0.13%)
17.02             1 (0.13%)
17.05             1 (0.13%)
17.11             1 (0.13%)
17.14             3 (0.39%)
17.15             1 (0.13%)
17.17             1 (0.13%)
17.23             1 (0.13%)
17.26             1 (0.13%)
17.35             1 (0.13%)
17.37             1 (0.13%)
17.41             1 (0.13%)
17.5              1 (0.13%)
17.52             1 (0.13%)
17.69             1 (0.13%)
17.88             1 (0.13%)
18.16             1 (0.13%)
18.19             1 (0.13%)
18.31             1 (0.13%)
18.46             1 (0.13%)
18.48             2 (0.26%)
18.71             1 (0.13%)
18.84             1 (0.13%)
18.88             1 (0.13%)
18.9              1 (0.13%)
19.0              1 (0.13%)
19.06             1 (0.13%)
19.12             1 (0.13%)
19.13             1 (0.13%)
19.2              1 (0.13%)
19.34             1 (0.13%)
19.36             1 (0.13%)
19.42             1 (0.13%)
19.48             1 (0.13%)
19.5              1 (0.13%)
19.52             1 (0.13%)
19.68             1 (0.13%)
19.95             1 (0.13%)
20.71             1 (0.13%)
20.84             1 (0.13%)
21.46             1 (0.13%)
22.58             1 (0.13%)
22.79             1 (0.13%)
22.8              1 (0.13%)
22.89             1 (0.13%)
22.93             1 (0.13%)
23.53             1 (0.13%)
23.54             1 (0.13%)
23.59             1 (0.13%)
23.67             1 (0.13%)
23.75             1 (0.13%)
