Dataset:     Energy Efficiency
Abstract:    This study looked into assessing the heating load and cooling load requirements of buildings (that is, energy efficiency) as a function of building parameters.
Authors:     Athanasios Tsanas, Angeliki Xifara
URL:         https://archive.ics.uci.edu/dataset/242/energy+efficiency

# Samples:   768 (no missing values)
# Features:  8
# Classes:   636
10.9              1 (0.13%)
10.94             1 (0.13%)
11.17             1 (0.13%)
11.19             1 (0.13%)
11.27             1 (0.13%)
11.29             1 (0.13%)
11.67             1 (0.13%)
11.72             1 (0.13%)
11.73             1 (0.13%)
11.74             1 (0.13%)
11.93             1 (0.13%)
12.04             1 (0.13%)
12.05             1 (0.13%)
12.07             1 (0.13%)
12.08             1 (0.13%)
12.14             1 (0.13%)
12.22             1 (0.13%)
12.23             1 (0.13%)
12.4              2 (0.26%)
13.2              2 (0.26%)
13.21             1 (0.13%)
13.32             1 (0.13%)
13.36             2 (0.26%)
13.39             1 (0.13%)
13.43             1 (0.13%)
13.44             1 (0.13%)
13.46             1 (0.13%)
13.48             1 (0.13%)
13.49             1 (0.13%)
13.5              1 (0.13%)
13.51             1 (0.13%)
13.53             1 (0.13%)
13.54             1 (0.13%)
13.57             1 (0.13%)
13.59             1 (0.13%)
13.6              1 (0.13%)
13.65             3 (0.39%)
13.67             2 (0.26%)
13.7              2 (0.26%)
13.71             1 (0.13%)
13.72             3 (0.39%)
13.75             1 (0.13%)
13.77             1 (0.13%)
13.79             3 (0.39%)
13.8              2 (0.26%)
13.83             1 (0.13%)
13.87             2 (0.26%)
13.88             1 (0.13%)
13.89             2 (0.26%)
13.9              1 (0.13%)
13.97             1 (0.13%)
13.99             1 (0.13%)
14.03             1 (0.13%)
14.09             1 (0.13%)
14.11             1 (0.13%)
14.12             1 (0.13%)
14.14             2 (0.26%)
14.15             1 (0.13%)
14.18             1 (0.13%)
14.2              1 (0.13%)
14.21             1 (0.13%)
14.23             1 (0.13%)
14.24             2 (0.26%)
14.26             1 (0.13%)
14.27             4 (0.52%)
14.28             4 (0.52%)
14.29             1 (0.13%)
14.3              2 (0.26%)
14.33             1 (0.13%)
14.34             2 (0.26%)
14.35             1 (0.13%)
14.37             2 (0.26%)
14.38             1 (0.13%)
14.39             1 (0.13%)
14.4              1 (0.13%)
14.42             1 (0.13%)
14.44             1 (0.13%)
14.45             1 (0.13%)
14.46             1 (0.13%)
14.47             1 (0.13%)
14.48             1 (0.13%)
14.49             2 (0.26%)
14.5              1 (0.13%)
14.54             1 (0.13%)
14.55             1 (0.13%)
14.57             1 (0.13%)
14.58             2 (0.26%)
14.6              1 (0.13%)
14.61             3 (0.39%)
14.65             1 (0.13%)
14.67             3 (0.39%)
14.71             1 (0.13%)
14.72             1 (0.13%)
14.73             2 (0.26%)
14.74             2 (0.26%)
14.75             2 (0.26%)
14.76             1 (0.13%)
14.81             2 (0.26%)
14.83             1 (0.13%)
14.86             2 (0.26%)
14.87             1 (0.13%)
14.89             2 (0.26%)
14.91             1 (0.13%)
14.92             3 (0.39%)
14.94             2 (0.26%)
14.96             1 (0.13%)
14.97             2 (0.26%)
15.0              2 (0.26%)
15.03             1 (0.13%)
15.07             1 (0.13%)
15.09             1 (0.13%)
15.1              1 (0.13%)
15.14             2 (0.26%)
15.17             1 (0.13%)
15.18             1 (0.13%)
15.19             2 (0.26%)
15.2              1 (0.13%)
15.21             1 (0.13%)
15.22             1 (0.13%)
15.23             1 (0.13%)
15.24             1 (0.13%)
15.27             1 (0.13%)
15.28             1 (0.13%)
15.3              1 (0.13%)
15.31             1 (0.13%)
15.32             2 (0.26%)
15.33             1 (0.13%)
15.35             1 (0.13%)
15.37             1 (0.13%)
15.38             1 (0.13%)
15.39             1 (0.13%)
15.4              1 (0.13%)
15.41             1 (0.13%)
15.42             1 (0.13%)
15.44             3 (0.39%)
15.47             1 (0.13%)
15.48             1 (0.13%)
15.5              2 (0.26%)
15.52             1 (0.13%)
15.53             1 (0.13%)
15.56             1 (0.13%)
15.57             1 (0.13%)
15.59             2 (0.26%)
15.63             1 (0.13%)
15.64             2 (0.26%)
15.66             1 (0.13%)
15.73             1 (0.13%)
15.76             1 (0.13%)
15.77             2 (0.26%)
15.78             1 (0.13%)
15.8              2 (0.26%)
15.81             1 (0.13%)
15.83             2 (0.26%)
15.84             1 (0.13%)
15.85             3 (0.39%)
15.87             2 (0.26%)
15.89             1 (0.13%)
15.95             2 (0.26%)
15.99             1 (0.13%)
16.0              1 (0.13%)
16.03             2 (0.26%)
16.06             1 (0.13%)
16.08             1 (0.13%)
16.1              1 (0.13%)
16.11             1 (0.13%)
16.13             1 (0.13%)
16.14             2 (0.26%)
16.17             1 (0.13%)
16.19             1 (0.13%)
16.22             1 (0.13%)
16.26             1 (0.13%)
16.27             1 (0.13%)
16.35             1 (0.13%)
16.39             2 (0.26%)
16.43             1 (0.13%)
16.44             1 (0.13%)
16.5              1 (0.13%)
16.54             1 (0.13%)
16.56             1 (0.13%)
16.57             1 (0.13%)
16.58             1 (0.13%)
16.6              1 (0.13%)
16.61             2 (0.26%)
16.62             1 (0.13%)
16.63             1 (0.13%)
16.67             1 (0.13%)
16.69             1 (0.13%)
16.7              2 (0.26%)
16.74             2 (0.26%)
16.75             1 (0.13%)
16.77             1 (0.13%)
16.78             1 (0.13%)
16.79             2 (0.26%)
16.8              1 (0.13%)
16.81             1 (0.13%)
16.85             1 (0.13%)
16.86             1 (0.13%)
16.87             1 (0.13%)
16.88             2 (0.26%)
16.9              3 (0.39%)
16.93             1 (0.13%)
16.94             2 (0.26%)
16.99             3 (0.39%)
17.0              1 (0.13%)
17.01             1 (0.13%)
17.02             1 (0.13%)
17.03             2 (0.26%)
17.04             1 (0.13%)
17.1              2 (0.26%)
17.11             1 (0.13%)
17.12             1 (0.13%)
17.14             1 (0.13%)
17.15             1 (0.13%)
17.2              4 (0.52%)
17.21             1 (0.13%)
17.22             1 (0.13%)
17.23             2 (0.26%)
17.25             2 (0.26%)
17.27             1 (0.13%)
17.32             1 (0.13%)
17.36             1 (0.13%)
17.37             1 (0.13%)
17.38             1 (0.13%)
17.39             1 (0.13%)
17.47             1 (0.13%)
17.51             2 (0.26%)
17.55             1 (0.13%)
17.63             1 (0.13%)
17.64             1 (0.13%)
17.74             1 (0.13%)
17.79             1 (0.13%)
17.82             1 (0.13%)
17.85             1 (0.13%)
17.86             1 (0.13%)
17.89             1 (0.13%)
17.95             1 (0.13%)
18.03             1 (0.13%)
18.06             1 (0.13%)
18.1              1 (0.13%)
18.14             2 (0.26%)
18.15             1 (0.13%)
18.22             1 (0.13%)
18.24             1 (0.13%)
18.36             2 (0.26%)
19.14             1 (0.13%)
19.18             2 (0.26%)
19.23             1 (0.13%)
19.24             2 (0.26%)
19.25             1 (0.13%)
19.26             1 (0.13%)
19.29             2 (0.26%)
19.3              1 (0.13%)
19.32             2 (0.26%)
19.34             2 (0.26%)
19.37             2 (0.26%)
19.42             1 (0.13%)
19.43             1 (0.13%)
19.48             1 (0.13%)
19.65             1 (0.13%)
19.76             1 (0.13%)
19.87             1 (0.13%)
19.9              1 (0.13%)
20.01             1 (0.13%)
20.03             1 (0.13%)
20.13             1 (0.13%)
20.19             1 (0.13%)
20.21             1 (0.13%)
20.28             1 (0.13%)
20.29             1 (0.13%)
20.37             1 (0.13%)
20.43             1 (0.13%)
20.46             1 (0.13%)
20.47             1 (0.13%)
20.48             1 (0.13%)
20.56             1 (0.13%)
20.71             1 (0.13%)
20.72             1 (0.13%)
20.78             1 (0.13%)
20.82             1 (0.13%)
21.08             1 (0.13%)
21.09             1 (0.13%)
21.13             1 (0.13%)
21.16             1 (0.13%)
21.19             1 (0.13%)
21.33             4 (0.52%)
21.4              1 (0.13%)
21.46             1 (0.13%)
21.53             1 (0.13%)
21.54             2 (0.26%)
