Dataset:     Airfoil Self-Noise
Abstract:    NASA data set, obtained from a series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections conducted in an anechoic wind tunnel.
Authors:     Thomas Brooks, D. Pope, Michael Marcolini
URL:         https://archive.ics.uci.edu/dataset/291/airfoil+self+noise

# Samples:   1503 (no missing values)
# Features:  5
# Classes:   1456
103.38            1 (0.07%)
104.13            1 (0.07%)
104.204           1 (0.07%)
104.5             1 (0.07%)
106.111           1 (0.07%)
106.224           1 (0.07%)
106.26            1 (0.07%)
106.582           1 (0.07%)
106.604           1 (0.07%)
106.88            1 (0.07%)
107.147           1 (0.07%)
107.267           1 (0.07%)
107.284           1 (0.07%)
107.405           1 (0.07%)
107.985           1 (0.07%)
108.034           2 (0.13%)
108.185           1 (0.07%)
108.265           1 (0.07%)
108.407           1 (0.07%)
108.625           1 (0.07%)
108.649           1 (0.07%)
108.684           1 (0.07%)
108.689           1 (0.07%)
108.721           1 (0.07%)
108.991           1 (0.07%)
109.222           1 (0.07%)
109.254           1 (0.07%)
109.52            1 (0.07%)
109.619           1 (0.07%)
109.638           1 (0.07%)
109.663           1 (0.07%)
109.718           1 (0.07%)
109.885           1 (0.07%)
109.949           1 (0.07%)
109.951           1 (0.07%)
110.124           1 (0.07%)
110.224           1 (0.07%)
110.264           1 (0.07%)
110.307           1 (0.07%)
110.313           1 (0.07%)
110.317           1 (0.07%)
110.364           1 (0.07%)
110.447           1 (0.07%)
110.491           1 (0.07%)
110.515           1 (0.07%)
110.555           1 (0.07%)
110.652           1 (0.07%)
110.689           1 (0.07%)
110.78            1 (0.07%)
110.839           1 (0.07%)
110.868           1 (0.07%)
110.894           1 (0.07%)
110.905           2 (0.13%)
111.029           1 (0.07%)
111.076           1 (0.07%)
111.135           1 (0.07%)
111.35            1 (0.07%)
111.459           1 (0.07%)
111.534           1 (0.07%)
111.588           1 (0.07%)
111.818           1 (0.07%)
111.911           1 (0.07%)
111.959           1 (0.07%)
112.014           1 (0.07%)
112.039           1 (0.07%)
112.065           1 (0.07%)
112.139           1 (0.07%)
112.16            1 (0.07%)
112.169           1 (0.07%)
112.209           1 (0.07%)
112.241           1 (0.07%)
112.251           1 (0.07%)
112.265           1 (0.07%)
112.355           1 (0.07%)
112.506           1 (0.07%)
112.524           1 (0.07%)
112.541           1 (0.07%)
112.589           1 (0.07%)
112.639           1 (0.07%)
112.675           1 (0.07%)
112.688           1 (0.07%)
112.699           1 (0.07%)
112.768           1 (0.07%)
112.803           1 (0.07%)
112.848           1 (0.07%)
112.93            1 (0.07%)
112.945           1 (0.07%)
113.004           1 (0.07%)
113.034           1 (0.07%)
113.045           1 (0.07%)
113.055           1 (0.07%)
113.076           1 (0.07%)
113.08            1 (0.07%)
113.086           1 (0.07%)
113.108           1 (0.07%)
113.11            1 (0.07%)
113.129           1 (0.07%)
113.144           1 (0.07%)
113.229           1 (0.07%)
113.288           1 (0.07%)
113.297           1 (0.07%)
113.298           1 (0.07%)
113.315           1 (0.07%)
113.333           1 (0.07%)
113.334           1 (0.07%)
113.492           1 (0.07%)
113.525           1 (0.07%)
113.665           1 (0.07%)
113.733           1 (0.07%)
113.775           1 (0.07%)
113.796           1 (0.07%)
113.799           1 (0.07%)
113.858           1 (0.07%)
113.958           1 (0.07%)
114.042           1 (0.07%)
114.044           1 (0.07%)
114.079           1 (0.07%)
114.085           1 (0.07%)
114.249           1 (0.07%)
114.258           2 (0.13%)
114.309           1 (0.07%)
114.404           1 (0.07%)
114.418           1 (0.07%)
114.453           1 (0.07%)
114.474           1 (0.07%)
114.477           1 (0.07%)
114.554           1 (0.07%)
114.569           1 (0.07%)
114.634           1 (0.07%)
114.67            1 (0.07%)
114.709           1 (0.07%)
114.714           1 (0.07%)
114.729           1 (0.07%)
114.75            1 (0.07%)
114.751           1 (0.07%)
114.779           1 (0.07%)
114.861           1 (0.07%)
114.9             2 (0.13%)
114.927           1 (0.07%)
114.984           1 (0.07%)
115.079           1 (0.07%)
115.085           1 (0.07%)
115.137           1 (0.07%)
115.144           1 (0.07%)
115.215           1 (0.07%)
115.234           1 (0.07%)
115.298           1 (0.07%)
115.304           1 (0.07%)
115.309           1 (0.07%)
115.311           1 (0.07%)
115.321           1 (0.07%)
115.372           1 (0.07%)
115.391           1 (0.07%)
115.413           1 (0.07%)
115.444           1 (0.07%)
115.461           1 (0.07%)
115.466           1 (0.07%)
115.52            1 (0.07%)
115.591           1 (0.07%)
115.608           1 (0.07%)
115.635           1 (0.07%)
115.645           1 (0.07%)
115.659           1 (0.07%)
115.679           1 (0.07%)
115.691           1 (0.07%)
115.792           1 (0.07%)
115.801           1 (0.07%)
115.812           1 (0.07%)
115.818           1 (0.07%)
115.846           1 (0.07%)
115.857           1 (0.07%)
115.863           1 (0.07%)
115.89            1 (0.07%)
115.893           1 (0.07%)
115.91            1 (0.07%)
115.969           1 (0.07%)
115.996           1 (0.07%)
116.017           1 (0.07%)
116.02            1 (0.07%)
116.066           1 (0.07%)
116.074           1 (0.07%)
116.108           1 (0.07%)
116.128           1 (0.07%)
116.134           1 (0.07%)
116.146           1 (0.07%)
116.151           1 (0.07%)
116.165           1 (0.07%)
116.181           1 (0.07%)
116.184           1 (0.07%)
116.22            1 (0.07%)
116.225           1 (0.07%)
116.229           1 (0.07%)
116.241           1 (0.07%)
116.295           1 (0.07%)
116.366           1 (0.07%)
116.411           1 (0.07%)
116.417           1 (0.07%)
116.468           1 (0.07%)
116.476           1 (0.07%)
116.55            1 (0.07%)
116.559           1 (0.07%)
116.56            1 (0.07%)
116.603           1 (0.07%)
116.659           1 (0.07%)
116.677           1 (0.07%)
116.694           1 (0.07%)
116.723           1 (0.07%)
116.724           1 (0.07%)
116.783           1 (0.07%)
116.792           1 (0.07%)
116.815           1 (0.07%)
116.849           1 (0.07%)
116.859           1 (0.07%)
116.914           1 (0.07%)
116.92            1 (0.07%)
116.924           1 (0.07%)
116.956           1 (0.07%)
116.967           1 (0.07%)
117.037           1 (0.07%)
117.054           1 (0.07%)
117.087           1 (0.07%)
117.093           1 (0.07%)
117.11            1 (0.07%)
117.119           1 (0.07%)
117.134           1 (0.07%)
117.137           1 (0.07%)
117.151           1 (0.07%)
117.154           1 (0.07%)
117.195           1 (0.07%)
117.253           1 (0.07%)
117.284           1 (0.07%)
117.287           1 (0.07%)
117.309           1 (0.07%)
117.328           1 (0.07%)
117.386           1 (0.07%)
117.396           1 (0.07%)
117.432           1 (0.07%)
117.465           1 (0.07%)
117.478           1 (0.07%)
117.504           1 (0.07%)
117.514           1 (0.07%)
117.604           1 (0.07%)
117.624           1 (0.07%)
117.649           1 (0.07%)
117.724           1 (0.07%)
117.741           1 (0.07%)
117.785           1 (0.07%)
117.789           1 (0.07%)
117.809           1 (0.07%)
117.875           1 (0.07%)
117.911           1 (0.07%)
117.925           1 (0.07%)
117.927           1 (0.07%)
117.957           1 (0.07%)
117.967           1 (0.07%)
117.976           1 (0.07%)
117.996           1 (0.07%)
118.005           1 (0.07%)
118.018           1 (0.07%)
118.024           1 (0.07%)
118.045           1 (0.07%)
118.05            1 (0.07%)
118.084           1 (0.07%)
118.091           1 (0.07%)
118.106           1 (0.07%)
118.108           1 (0.07%)
118.113           1 (0.07%)
118.122           1 (0.07%)
118.129           1 (0.07%)
118.134           2 (0.13%)
118.145           1 (0.07%)
118.214           1 (0.07%)
118.267           1 (0.07%)
118.291           1 (0.07%)
118.343           1 (0.07%)
118.365           1 (0.07%)
118.385           1 (0.07%)
118.41            1 (0.07%)
118.416           1 (0.07%)
118.441           1 (0.07%)
118.545           1 (0.07%)
118.564           1 (0.07%)
118.595           1 (0.07%)
118.618           1 (0.07%)
118.619           1 (0.07%)
118.634           1 (0.07%)
118.667           1 (0.07%)
118.689           1 (0.07%)
118.696           1 (0.07%)
118.712           1 (0.07%)
118.743           1 (0.07%)
118.757           1 (0.07%)
118.767           1 (0.07%)
118.816           1 (0.07%)
118.827           1 (0.07%)
118.859           1 (0.07%)
118.904           1 (0.07%)
118.922           1 (0.07%)
118.941           1 (0.07%)
118.955           1 (0.07%)
118.964           1 (0.07%)
118.994           1 (0.07%)
118.998           1 (0.07%)
119.039           1 (0.07%)
119.04            1 (0.07%)
119.07            1 (0.07%)
119.099           1 (0.07%)
119.111           1 (0.07%)
119.115           1 (0.07%)
119.135           2 (0.13%)
119.137           1 (0.07%)
119.146           1 (0.07%)
119.151           1 (0.07%)
119.159           1 (0.07%)
119.174           1 (0.07%)
