Dataset:     Combined Cycle Power Plant
Abstract:    The dataset contains 9568 data points collected from a Combined Cycle Power Plant over 6 years (2006-2011), when the plant was set to work with full load. 
Authors:     Pnar Tfekci, Heysem Kaya
URL:         https://archive.ics.uci.edu/dataset/294/combined+cycle+power+plant

# Samples:   9568 (no missing values)
# Features:  4
# Classes:   4836
420.26            1 (0.01%)
421.57            1 (0.01%)
425.11            1 (0.01%)
425.12            1 (0.01%)
425.14            2 (0.02%)
425.16            1 (0.01%)
425.17            1 (0.01%)
425.18            1 (0.01%)
425.19            1 (0.01%)
425.2             1 (0.01%)
425.21            3 (0.03%)
425.27            1 (0.01%)
425.28            1 (0.01%)
425.29            1 (0.01%)
425.3             1 (0.01%)
425.34            1 (0.01%)
425.35            2 (0.02%)
425.36            1 (0.01%)
425.41            1 (0.01%)
425.48            1 (0.01%)
425.5             2 (0.02%)
425.55            1 (0.01%)
425.58            1 (0.01%)
425.61            1 (0.01%)
425.64            1 (0.01%)
425.66            1 (0.01%)
425.68            1 (0.01%)
425.69            1 (0.01%)
425.71            1 (0.01%)
425.72            1 (0.01%)
425.74            1 (0.01%)
425.75            2 (0.02%)
425.82            1 (0.01%)
425.89            2 (0.02%)
425.91            2 (0.02%)
425.98            1 (0.01%)
426.0             1 (0.01%)
426.07            1 (0.01%)
426.1             1 (0.01%)
426.13            1 (0.01%)
426.14            2 (0.02%)
426.15            1 (0.01%)
426.18            1 (0.01%)
426.2             1 (0.01%)
426.22            1 (0.01%)
426.24            1 (0.01%)
426.25            2 (0.02%)
426.28            1 (0.01%)
426.29            1 (0.01%)
426.3             1 (0.01%)
426.31            1 (0.01%)
426.35            2 (0.02%)
426.37            1 (0.01%)
426.46            1 (0.01%)
426.47            1 (0.01%)
426.48            2 (0.02%)
426.5             1 (0.01%)
426.52            1 (0.01%)
426.53            1 (0.01%)
426.54            1 (0.01%)
426.55            1 (0.01%)
426.56            1 (0.01%)
426.58            1 (0.01%)
426.6             1 (0.01%)
426.61            1 (0.01%)
426.62            1 (0.01%)
426.64            1 (0.01%)
426.66            1 (0.01%)
426.67            1 (0.01%)
426.69            1 (0.01%)
426.76            1 (0.01%)
426.79            2 (0.02%)
426.8             2 (0.02%)
426.82            1 (0.01%)
426.84            1 (0.01%)
426.85            2 (0.02%)
426.86            1 (0.01%)
426.87            1 (0.01%)
426.88            1 (0.01%)
426.9             1 (0.01%)
426.91            1 (0.01%)
426.93            1 (0.01%)
426.96            1 (0.01%)
426.97            1 (0.01%)
426.98            1 (0.01%)
427.01            1 (0.01%)
427.04            1 (0.01%)
427.05            1 (0.01%)
427.06            2 (0.02%)
427.1             1 (0.01%)
427.11            1 (0.01%)
427.15            1 (0.01%)
427.2             2 (0.02%)
427.21            2 (0.02%)
427.22            2 (0.02%)
427.25            1 (0.01%)
427.28            1 (0.01%)
427.29            1 (0.01%)
427.3             1 (0.01%)
427.31            1 (0.01%)
427.33            1 (0.01%)
427.35            1 (0.01%)
427.36            1 (0.01%)
427.38            1 (0.01%)
427.39            1 (0.01%)
427.4             1 (0.01%)
427.41            1 (0.01%)
427.42            2 (0.02%)
427.45            1 (0.01%)
427.49            1 (0.01%)
427.5             1 (0.01%)
427.51            1 (0.01%)
427.53            2 (0.02%)
427.55            1 (0.01%)
427.56            1 (0.01%)
427.58            1 (0.01%)
427.61            1 (0.01%)
427.62            2 (0.02%)
427.63            1 (0.01%)
427.65            2 (0.02%)
427.66            1 (0.01%)
427.67            2 (0.02%)
427.69            2 (0.02%)
427.71            1 (0.01%)
427.72            1 (0.01%)
427.76            1 (0.01%)
427.77            1 (0.01%)
427.82            2 (0.02%)
427.83            2 (0.02%)
