Dataset:     Online News Popularity
Abstract:    This dataset summarizes a heterogeneous set of features about articles published by Mashable in a period of two years. The goal is to predict the number of shares in social networks (popularity).
Authors:     Kelwin Fernandes, Pedro Vinagre, Paulo Cortez, Pedro Sernadela
URL:         https://archive.ics.uci.edu/dataset/332/online+news+popularity

# Samples:   39644 (no missing values)
# Features:  58
# Classes:   1454
1                 1 (0.00%)
4                 1 (0.00%)
5                 1 (0.00%)
8                 1 (0.00%)
22                2 (0.01%)
23                1 (0.00%)
28                2 (0.01%)
35                1 (0.00%)
36                1 (0.00%)
41                1 (0.00%)
42                2 (0.01%)
43                2 (0.01%)
44                1 (0.00%)
45                1 (0.00%)
47                1 (0.00%)
48                2 (0.01%)
49                3 (0.01%)
50                2 (0.01%)
51                1 (0.00%)
52                1 (0.00%)
53                1 (0.00%)
54                1 (0.00%)
56                1 (0.00%)
57                3 (0.01%)
58                1 (0.00%)
59                2 (0.01%)
60                2 (0.01%)
63                1 (0.00%)
64                3 (0.01%)
65                2 (0.01%)
66                1 (0.00%)
67                1 (0.00%)
70                2 (0.01%)
74                1 (0.00%)
76                1 (0.00%)
77                3 (0.01%)
78                2 (0.01%)
80                2 (0.01%)
81                1 (0.00%)
82                4 (0.01%)
83                1 (0.00%)
84                1 (0.00%)
85                1 (0.00%)
86                2 (0.01%)
87                1 (0.00%)
88                3 (0.01%)
89                2 (0.01%)
90                1 (0.00%)
91                2 (0.01%)
92                1 (0.00%)
93                1 (0.00%)
95                2 (0.01%)
97                2 (0.01%)
98                1 (0.00%)
99                2 (0.01%)
100               1 (0.00%)
102               1 (0.00%)
103               1 (0.00%)
104               1 (0.00%)
106               1 (0.00%)
109               2 (0.01%)
110               1 (0.00%)
111               2 (0.01%)
112               2 (0.01%)
114               1 (0.00%)
115               1 (0.00%)
116               3 (0.01%)
119               2 (0.01%)
121               2 (0.01%)
123               2 (0.01%)
124               1 (0.00%)
127               1 (0.00%)
128               1 (0.00%)
129               2 (0.01%)
130               1 (0.00%)
134               1 (0.00%)
135               1 (0.00%)
137               1 (0.00%)
138               2 (0.01%)
139               1 (0.00%)
140               2 (0.01%)
141               1 (0.00%)
143               2 (0.01%)
144               3 (0.01%)
146               1 (0.00%)
149               1 (0.00%)
150               1 (0.00%)
151               1 (0.00%)
154               1 (0.00%)
156               1 (0.00%)
158               2 (0.01%)
160               1 (0.00%)
162               2 (0.01%)
163               1 (0.00%)
164               1 (0.00%)
165               2 (0.01%)
168               1 (0.00%)
171               2 (0.01%)
173               1 (0.00%)
176               1 (0.00%)
178               2 (0.01%)
180               1 (0.00%)
181               2 (0.01%)
183               2 (0.01%)
184               1 (0.00%)
186               1 (0.00%)
187               1 (0.00%)
190               2 (0.01%)
191               1 (0.00%)
192               1 (0.00%)
196               1 (0.00%)
199               1 (0.00%)
200               2 (0.01%)
201               2 (0.01%)
202               1 (0.00%)
205               3 (0.01%)
206               1 (0.00%)
210               1 (0.00%)
211               3 (0.01%)
213               2 (0.01%)
215               2 (0.01%)
217               4 (0.01%)
218               2 (0.01%)
220               1 (0.00%)
221               3 (0.01%)
223               1 (0.00%)
224               2 (0.01%)
226               1 (0.00%)
228               2 (0.01%)
231               1 (0.00%)
232               2 (0.01%)
233               3 (0.01%)
236               1 (0.00%)
237               3 (0.01%)
238               1 (0.00%)
240               2 (0.01%)
241               2 (0.01%)
242               1 (0.00%)
245               2 (0.01%)
246               1 (0.00%)
248               2 (0.01%)
250               1 (0.00%)
251               2 (0.01%)
255               3 (0.01%)
256               1 (0.00%)
257               2 (0.01%)
258               2 (0.01%)
261               1 (0.00%)
262               3 (0.01%)
263               1 (0.00%)
264               2 (0.01%)
266               1 (0.00%)
267               1 (0.00%)
268               2 (0.01%)
269               1 (0.00%)
272               1 (0.00%)
274               1 (0.00%)
277               1 (0.00%)
278               1 (0.00%)
279               1 (0.00%)
280               1 (0.00%)
282               1 (0.00%)
285               1 (0.00%)
286               2 (0.01%)
287               2 (0.01%)
291               1 (0.00%)
292               1 (0.00%)
293               1 (0.00%)
294               2 (0.01%)
295               1 (0.00%)
296               2 (0.01%)
299               1 (0.00%)
300               3 (0.01%)
301               1 (0.00%)
302               1 (0.00%)
303               1 (0.00%)
305               1 (0.00%)
306               1 (0.00%)
308               3 (0.01%)
309               1 (0.00%)
310               2 (0.01%)
311               1 (0.00%)
313               1 (0.00%)
314               1 (0.00%)
317               1 (0.00%)
318               2 (0.01%)
319               2 (0.01%)
321               2 (0.01%)
322               1 (0.00%)
323               1 (0.00%)
324               1 (0.00%)
325               2 (0.01%)
326               1 (0.00%)
330               2 (0.01%)
331               2 (0.01%)
332               2 (0.01%)
333               1 (0.00%)
334               1 (0.00%)
336               1 (0.00%)
337               2 (0.01%)
338               1 (0.00%)
339               2 (0.01%)
340               2 (0.01%)
341               2 (0.01%)
342               3 (0.01%)
343               3 (0.01%)
346               2 (0.01%)
348               2 (0.01%)
349               2 (0.01%)
350               4 (0.01%)
352               2 (0.01%)
353               1 (0.00%)
354               3 (0.01%)
356               2 (0.01%)
357               2 (0.01%)
358               4 (0.01%)
359               2 (0.01%)
360               1 (0.00%)
361               4 (0.01%)
363               1 (0.00%)
365               1 (0.00%)
366               4 (0.01%)
367               1 (0.00%)
368               3 (0.01%)
369               3 (0.01%)
370               2 (0.01%)
371               2 (0.01%)
372               2 (0.01%)
373               3 (0.01%)
374               2 (0.01%)
375               5 (0.01%)
376               1 (0.00%)
377               7 (0.02%)
378               1 (0.00%)
379               4 (0.01%)
380               4 (0.01%)
381               4 (0.01%)
382               4 (0.01%)
383               3 (0.01%)
384               4 (0.01%)
385               2 (0.01%)
386               2 (0.01%)
387               4 (0.01%)
388               1 (0.00%)
389               2 (0.01%)
390               4 (0.01%)
391               2 (0.01%)
392               3 (0.01%)
393               5 (0.01%)
394               3 (0.01%)
395               5 (0.01%)
396               5 (0.01%)
397               3 (0.01%)
398               5 (0.01%)
399               5 (0.01%)
400               5 (0.01%)
401               4 (0.01%)
402               4 (0.01%)
403               6 (0.02%)
404               5 (0.01%)
405               3 (0.01%)
406               1 (0.00%)
407               6 (0.02%)
408               3 (0.01%)
409               4 (0.01%)
