Dataset:     Superconductivty Data
Abstract:    Two file s contain data on 21263 superconductors and their relevant features.
Authors:     Kam Hamidieh
URL:         https://archive.ics.uci.edu/dataset/464/superconductivty+data

# Samples:   21263 (no missing values)
# Features:  81
# Classes:   3007
0.00021           1 (0.00%)
0.000325          1 (0.00%)
0.0004            1 (0.00%)
0.0005            1 (0.00%)
0.00062           1 (0.00%)
0.001             4 (0.02%)
0.00104           1 (0.00%)
0.00138           1 (0.00%)
0.0019            1 (0.00%)
0.0065            1 (0.00%)
0.0074            1 (0.00%)
0.01              3 (0.01%)
0.0111            1 (0.00%)
0.012             1 (0.00%)
0.0125            1 (0.00%)
0.013             1 (0.00%)
0.0138            3 (0.01%)
0.0154            1 (0.00%)
0.016             3 (0.01%)
0.0164            1 (0.00%)
0.0167            1 (0.00%)
0.018             1 (0.00%)
0.019             2 (0.01%)
0.0195            1 (0.00%)
0.02              2 (0.01%)
0.022             2 (0.01%)
0.023             2 (0.01%)
0.024             1 (0.00%)
0.025             2 (0.01%)
0.0252            1 (0.00%)
0.0256            1 (0.00%)
0.026             2 (0.01%)
0.0278            1 (0.00%)
0.028             2 (0.01%)
0.0285            1 (0.00%)
0.03              8 (0.04%)
0.031             1 (0.00%)
0.0318            1 (0.00%)
0.032             3 (0.01%)
0.033             1 (0.00%)
0.0332            1 (0.00%)
0.034             2 (0.01%)
0.035             3 (0.01%)
0.037             2 (0.01%)
0.0376            1 (0.00%)
0.038             2 (0.01%)
0.039             1 (0.00%)
0.041             1 (0.00%)
0.042             1 (0.00%)
0.0423            1 (0.00%)
0.0425            1 (0.00%)
0.0433            1 (0.00%)
0.045             2 (0.01%)
0.046             2 (0.01%)
0.047             4 (0.02%)
0.048             4 (0.02%)
0.0485            1 (0.00%)
0.05              8 (0.04%)
0.051             2 (0.01%)
0.052             1 (0.00%)
0.0524            1 (0.00%)
0.054             1 (0.00%)
0.055             3 (0.01%)
0.0555            1 (0.00%)
0.058             2 (0.01%)
0.06              4 (0.02%)
0.0609            1 (0.00%)
0.061             1 (0.00%)
0.0619            1 (0.00%)
0.0625            1 (0.00%)
0.064             2 (0.01%)
0.0641            1 (0.00%)
0.065             2 (0.01%)
0.066             4 (0.02%)
0.067             3 (0.01%)
0.0672            1 (0.00%)
0.068             2 (0.01%)
0.0682            1 (0.00%)
0.069             1 (0.00%)
0.07              5 (0.02%)
0.071             1 (0.00%)
0.072             2 (0.01%)
0.073             1 (0.00%)
0.074             1 (0.00%)
0.075             1 (0.00%)
0.076             1 (0.00%)
0.0763            1 (0.00%)
0.077             1 (0.00%)
0.08              5 (0.02%)
0.082             1 (0.00%)
0.084             1 (0.00%)
0.085             2 (0.01%)
0.087             1 (0.00%)
0.088             2 (0.01%)
0.09              5 (0.02%)
0.092             1 (0.00%)
0.093             1 (0.00%)
0.095             6 (0.03%)
0.096             1 (0.00%)
0.1              13 (0.06%)
0.101             1 (0.00%)
0.102             1 (0.00%)
0.104             1 (0.00%)
0.105             2 (0.01%)
0.106             1 (0.00%)
0.107             2 (0.01%)
0.108             1 (0.00%)
0.11              9 (0.04%)
0.112             1 (0.00%)
0.113             1 (0.00%)
0.115             2 (0.01%)
0.116             2 (0.01%)
0.117             1 (0.00%)
0.12              3 (0.01%)
0.125             4 (0.02%)
0.126             1 (0.00%)
0.127             1 (0.00%)
0.128             1 (0.00%)
0.13              7 (0.03%)
0.132             1 (0.00%)
0.133             2 (0.01%)
0.134             1 (0.00%)
0.135             1 (0.00%)
0.137             1 (0.00%)
0.138             2 (0.01%)
0.14              4 (0.02%)
0.141             1 (0.00%)
0.142             2 (0.01%)
0.145             3 (0.01%)
0.147             1 (0.00%)
0.15              8 (0.04%)
0.152             1 (0.00%)
0.155             4 (0.02%)
0.158             2 (0.01%)
0.16              5 (0.02%)
0.162             1 (0.00%)
0.165             2 (0.01%)
0.167             1 (0.00%)
0.168             5 (0.02%)
0.17              2 (0.01%)
0.171             1 (0.00%)
0.172             2 (0.01%)
0.174             1 (0.00%)
0.175             2 (0.01%)
0.18              5 (0.02%)
0.182             1 (0.00%)
0.184             1 (0.00%)
0.185             1 (0.00%)
0.189             1 (0.00%)
0.19              3 (0.01%)
0.194             1 (0.00%)
0.195             1 (0.00%)
0.2              15 (0.07%)
0.201             1 (0.00%)
0.205             1 (0.00%)
0.207             1 (0.00%)
0.21              8 (0.04%)
0.213             1 (0.00%)
0.214             2 (0.01%)
0.22             10 (0.05%)
0.23              3 (0.01%)
0.235             1 (0.00%)
0.24              4 (0.02%)
0.246             1 (0.00%)
0.25              7 (0.03%)
0.26              4 (0.02%)
0.262             1 (0.00%)
0.264             1 (0.00%)
0.27              7 (0.03%)
0.28              5 (0.02%)
0.29              5 (0.02%)
0.3               9 (0.04%)
0.31              3 (0.01%)
0.311             1 (0.00%)
0.32              5 (0.02%)
0.325             2 (0.01%)
0.33              2 (0.01%)
0.34             11 (0.05%)
0.345             2 (0.01%)
0.35             10 (0.05%)
0.36              2 (0.01%)
0.37             10 (0.05%)
0.38             10 (0.05%)
0.385             1 (0.00%)
0.39              8 (0.04%)
0.394             1 (0.00%)
0.395             1 (0.00%)
0.4              19 (0.09%)
0.41              9 (0.04%)
0.415             1 (0.00%)
0.42              5 (0.02%)
0.429             1 (0.00%)
0.43             10 (0.05%)
0.435             1 (0.00%)
0.44              3 (0.01%)
0.449             1 (0.00%)
0.45              6 (0.03%)
0.4505            1 (0.00%)
0.46             12 (0.06%)
0.47              9 (0.04%)
0.473             1 (0.00%)
0.476             1 (0.00%)
0.478             1 (0.00%)
0.48              9 (0.04%)
0.49              6 (0.03%)
0.493             1 (0.00%)
0.5              16 (0.08%)
0.508             1 (0.00%)
0.509             1 (0.00%)
0.51              4 (0.02%)
0.5115            1 (0.00%)
0.5148            1 (0.00%)
0.517             1 (0.00%)
0.5173            1 (0.00%)
0.518             1 (0.00%)
0.52              3 (0.01%)
0.5218            1 (0.00%)
0.53              5 (0.02%)
0.533             1 (0.00%)
0.54              5 (0.02%)
0.541             1 (0.00%)
0.545             1 (0.00%)
0.55             14 (0.07%)
0.556             1 (0.00%)
0.56              6 (0.03%)
0.569             1 (0.00%)
0.57              5 (0.02%)
0.575             1 (0.00%)
0.58              8 (0.04%)
0.584             1 (0.00%)
0.59              5 (0.02%)
0.596             1 (0.00%)
0.6              23 (0.11%)
0.61              2 (0.01%)
0.616             1 (0.00%)
0.62              9 (0.04%)
0.628             1 (0.00%)
0.63              3 (0.01%)
0.632             1 (0.00%)
0.634             1 (0.00%)
0.64             11 (0.05%)
0.645             1 (0.00%)
0.65             10 (0.05%)
0.655             1 (0.00%)
0.66              8 (0.04%)
0.668             1 (0.00%)
0.67              3 (0.01%)
0.671             1 (0.00%)
0.675             1 (0.00%)
0.677             1 (0.00%)
0.68             10 (0.05%)
0.69              6 (0.03%)
0.7              23 (0.11%)
0.703             1 (0.00%)
0.71              4 (0.02%)
0.7145            1 (0.00%)
0.72              6 (0.03%)
0.727             1 (0.00%)
0.73              7 (0.03%)
0.734             1 (0.00%)
0.74              8 (0.04%)
0.741             1 (0.00%)
0.745             1 (0.00%)
0.748             1 (0.00%)
0.75             17 (0.08%)
0.76             13 (0.06%)
0.763             2 (0.01%)
0.77              6 (0.03%)
0.78              9 (0.04%)
0.785             1 (0.00%)
0.788             1 (0.00%)
0.79              5 (0.02%)
0.8              15 (0.07%)
0.81              3 (0.01%)
0.818             1 (0.00%)
0.82              5 (0.02%)
0.825             1 (0.00%)
0.83              3 (0.01%)
0.84             11 (0.05%)
0.85              7 (0.03%)
0.855             1 (0.00%)
0.857             1 (0.00%)
0.86              5 (0.02%)
0.867             1 (0.00%)
0.87              6 (0.03%)
0.88              7 (0.03%)
0.885             1 (0.00%)
0.89              1 (0.00%)
0.895             1 (0.00%)
0.897             1 (0.00%)
0.9              18 (0.08%)
0.902             1 (0.00%)
0.903             1 (0.00%)
0.907             1 (0.00%)
0.91              5 (0.02%)
0.916             1 (0.00%)
0.92              8 (0.04%)
0.93              7 (0.03%)
0.932             1 (0.00%)
0.936             1 (0.00%)
0.94              8 (0.04%)
0.95              4 (0.02%)
0.954             2 (0.01%)
0.955             1 (0.00%)
0.96              9 (0.04%)
0.97              7 (0.03%)
0.98              5 (0.02%)
0.99              1 (0.00%)
0.993             1 (0.00%)
1.0              35 (0.16%)
1.01              2 (0.01%)
1.015             1 (0.00%)
