dataset,gb_accuracy,bb_accuracy,hybrid_accuracy_no_reject,hybrid_accuracy_w_reject
bench,0.94317215,1.00000000,0.99273808,0.98861504
gamma,0.82475990,0.95903260,0.92975581,0.92626211
brst-w,0.97090461,0.99785194,0.99421974,0.99372253
parkns,0.98382597,1.00000000,0.99909026,0.99886091
blood,0.79613807,0.82029171,0.81996477,0.86285133
car,0.84970412,1.00000000,0.99459892,0.99386751
vertebr,0.90172043,0.98365591,0.98344086,0.99329390
bank,0.96504746,1.00000000,0.99799163,0.99757190
diabet,0.66595203,0.96503479,0.87498650,0.81670197
htru,0.98102581,0.98467241,0.98467241,0.99316214
haber,0.77566693,0.77407325,0.77646746,0.84119421
brst-c,0.92241392,0.91532051,0.92126374,0.95956506
heart-f,0.84704502,0.93638139,0.91980669,0.93886825
iono,0.91206128,0.97372614,0.96644525,0.97977530
cerv-c,0.96696635,0.99012500,0.98826442,0.99563744
rice,0.92909886,0.93575386,0.93575386,0.98173604
churn,0.92692063,0.98751323,0.97674074,0.98352089
taiwan,0.97228006,1.00000000,0.99401344,0.99345381
letter,0.25582778,1.00000000,0.85826000,0.80629478
drybean,0.82784350,0.95652699,0.93910317,0.95982378
droid,0.93823431,0.98016198,0.97158734,0.98008903
page,0.96919425,0.99108351,0.98911020,0.99477075
sepsis,0.92632838,0.92632838,0.92632838,0.96551926
raisin,0.86735802,0.91345679,0.91207407,0.94364005
matern,0.69276796,0.92579445,0.89020424,0.88470503
survey,0.84021072,0.86719366,0.86556453,0.89512592
aids,0.89008365,0.93274120,0.92017044,0.94314982
cdc-d,0.86193052,0.86874496,0.86869477,0.93665847
spam,0.90861402,0.99915477,0.96842719,0.95926428
sp-hrt,0.79400934,0.97087068,0.96487898,0.98322915
