dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
151,1x5_Dynamic_Binary_Shallow,0.99273808,0.34466151,0.65533849,0.00000000,0.03728231,0.81080952,0.35742857,0.64257143,0.00000000,0.11198359
159,1x5_Dynamic_Binary_Shallow,0.92975581,0.50473420,0.49526580,0.00000000,0.17854071,0.87268139,0.50376446,0.49623554,0.00000000,0.18643054
17,1x5_Dynamic_Binary_Shallow,0.99421974,0.74204633,0.25795367,0.00000000,0.12380620,0.96028195,0.72686717,0.27313283,0.00000000,0.27879944
174,1x5_Dynamic_Binary_Shallow,0.99909026,0.51009805,0.48990195,0.00000000,0.02981327,0.91184211,0.50921053,0.49078947,0.00000000,0.17933967
176,1x5_Dynamic_Binary_Shallow,0.81996477,0.68528715,0.31471285,0.00000000,0.27204185,0.78584505,0.66926847,0.33073153,0.00000000,0.21663353
19,1x5_Dynamic_Binary_Shallow,0.99459892,0.63743534,0.36256466,0.00000000,0.44848546,0.98483264,0.63716225,0.36283775,0.00000000,0.44037130
212,1x5_Dynamic_Binary_Shallow,0.98344086,0.54093190,0.45906810,0.00000000,0.21473690,0.82967742,0.52258065,0.47741935,0.00000000,0.28272078
267,1x5_Dynamic_Binary_Shallow,0.99799163,0.73336702,0.26663298,0.00000000,0.17631655,0.99009309,0.72475722,0.27524278,0.00000000,0.18116680
329,1x5_Dynamic_Binary_Shallow,0.87498650,0.44213118,0.55786882,0.00000000,0.15465948,0.68029535,0.45142729,0.54857271,0.00000000,0.13672203
372,1x5_Dynamic_Binary_Shallow,0.98467241,0.87811562,0.12188438,0.00000000,0.16571856,0.98000908,0.87711348,0.12288652,0.00000000,0.17260965
43,1x5_Dynamic_Binary_Shallow,0.77646746,0.64637813,0.35362187,0.00000000,0.24803494,0.75154839,0.64765591,0.35234409,0.00000000,0.22904677
451,1x5_Dynamic_Binary_Shallow,0.92126374,0.37781502,0.62218498,0.00000000,0.06280959,0.77272727,0.41439394,0.58560606,0.00000000,0.05667173
519,1x5_Dynamic_Binary_Shallow,0.91980669,0.69989398,0.30010602,0.00000000,0.36982857,0.83940230,0.66567816,0.33432184,0.00000000,0.12728261
52,1x5_Dynamic_Binary_Shallow,0.96644525,0.75500080,0.24499920,0.00000000,0.38249285,0.91915873,0.74584127,0.25415873,0.00000000,0.27446968
537,1x5_Dynamic_Binary_Shallow,0.98826442,0.57260577,0.42739423,0.00000000,0.07645628,0.85214286,0.53964286,0.46035714,0.00000000,0.03808300
545,1x5_Dynamic_Binary_Shallow,0.93575386,0.73596967,0.26403033,0.00000000,0.27882448,0.92771654,0.73338583,0.26661417,0.00000000,0.26445738
563,1x5_Dynamic_Binary_Shallow,0.97674074,0.78799295,0.21200705,0.00000000,0.34876767,0.95384127,0.78793651,0.21206349,0.00000000,0.37223585
572,1x5_Dynamic_Binary_Shallow,0.99401344,0.89097797,0.10902203,0.00000000,0.28797843,0.97102213,0.88719621,0.11280379,0.00000000,0.29724324
59,1x5_Dynamic_Binary_Shallow,0.85826000,0.30325222,0.69674778,0.00000000,0.41566008,0.82393000,0.30282000,0.69718000,0.00000000,0.41257413
602,1x5_Dynamic_Binary_Shallow,0.93910317,0.68666523,0.31333477,0.00000000,0.47650179,0.91756700,0.68449016,0.31550984,0.00000000,0.46988110
722,1x5_Dynamic_Binary_Shallow,0.97158734,0.80722768,0.19277232,0.00000000,0.28777940,0.96624855,0.80817484,0.19182516,0.00000000,0.28267901
78,1x5_Dynamic_Binary_Shallow,0.98911020,0.84993811,0.15006189,0.00000000,0.26342284,0.97270393,0.84739702,0.15260298,0.00000000,0.28541435
827,1x5_Dynamic_Binary_Shallow,0.92632838,0.52150937,0.47849063,0.00000000,0.08472165,0.92632838,0.52135662,0.47864338,0.00000000,0.08291179
850,1x5_Dynamic_Binary_Shallow,0.91207407,0.65807407,0.34192593,0.00000000,0.30170407,0.87000000,0.65777778,0.34222222,0.00000000,0.24582895
863,1x5_Dynamic_Binary_Shallow,0.89020424,0.46342081,0.53657919,0.00000000,0.30801974,0.84629781,0.45942730,0.54057270,0.00000000,0.29779632
887,1x5_Dynamic_Binary_Shallow,0.86556453,0.74728145,0.25271855,0.00000000,0.26928295,0.84267254,0.74469549,0.25530451,0.00000000,0.22172085
890,1x5_Dynamic_Binary_Shallow,0.92017044,0.71402052,0.28597948,0.00000000,0.22752445,0.89107104,0.71399237,0.28600763,0.00000000,0.17247877
891,1x5_Dynamic_Binary_Shallow,0.86869477,0.63464636,0.36535364,0.00000000,0.26640040,0.86687717,0.63450804,0.36549196,0.00000000,0.26672346
94,1x5_Dynamic_Binary_Shallow,0.96842719,0.64212096,0.35787904,0.00000000,0.14412487,0.94340347,0.63912440,0.36087560,0.00000000,0.17116539
96,1x5_Dynamic_Binary_Shallow,0.96487898,0.65551037,0.34448963,0.00000000,0.61734845,0.80059829,0.64125356,0.35874644,0.00000000,0.33090278
151,1x5_Dynamic_Double_AR_Shallow,0.99430347,0.28452327,0.29936398,0.41611275,0.03096059,0.85028199,0.26128571,0.28785714,0.45085714,0.09759960
159,1x5_Dynamic_Double_AR_Shallow,0.95400997,0.37948358,0.14365814,0.47685828,0.11117055,0.92998067,0.37848580,0.14375394,0.47776025,0.13206859
17,1x5_Dynamic_Double_AR_Shallow,0.99814079,0.67432870,0.09791035,0.22776095,0.07907783,0.97741294,0.66182331,0.10792607,0.23025063,0.18516135
174,1x5_Dynamic_Double_AR_Shallow,0.99954690,0.48274545,0.28089740,0.23635714,0.02723430,0.93048530,0.46321053,0.27084211,0.26594737,0.16618475
176,1x5_Dynamic_Double_AR_Shallow,0.87379411,0.63623577,0.06616492,0.29759931,0.21463944,0.85172600,0.62144865,0.06925045,0.30930090,0.16855897
19,1x5_Dynamic_Double_AR_Shallow,0.99745228,0.60896291,0.24739066,0.14364643,0.31142894,0.99540329,0.60498723,0.24569633,0.14931644,0.31806324
