dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
151,3x5_Dynamic_Binary_Shallow,0.99476562,0.26872056,0.73127944,0.00000000,0.02840272,0.81790476,0.30647619,0.69352381,0.00000000,0.10110699
17,3x5_Dynamic_Binary_Shallow,0.99441513,0.73329100,0.26670900,0.00000000,0.11841031,0.96063283,0.71288221,0.28711779,0.00000000,0.26553692
174,3x5_Dynamic_Binary_Shallow,0.99954416,0.43818052,0.56181948,0.00000000,0.02329267,0.91073684,0.44457895,0.55542105,0.00000000,0.14410008
176,3x5_Dynamic_Binary_Shallow,0.82029149,0.70356211,0.29643789,0.00000000,0.26963152,0.78475676,0.69810811,0.30189189,0.00000000,0.22671090
19,3x5_Dynamic_Binary_Shallow,0.99323548,0.64229751,0.35770249,0.00000000,0.44897302,0.98391249,0.64339696,0.35660304,0.00000000,0.44472465
212,3x5_Dynamic_Binary_Shallow,0.98523297,0.51870968,0.48129032,0.00000000,0.20319630,0.82838710,0.50258065,0.49741935,0.00000000,0.27964276
267,3x5_Dynamic_Binary_Shallow,0.99794302,0.73613576,0.26386424,0.00000000,0.17535069,0.98994288,0.73193378,0.26806622,0.00000000,0.18785451
329,3x5_Dynamic_Binary_Shallow,0.89029812,0.38648470,0.61351530,0.00000000,0.14372376,0.68688756,0.38683058,0.61316942,0.00000000,0.13169823
43,3x5_Dynamic_Binary_Shallow,0.77545375,0.62184769,0.37815231,0.00000000,0.23417756,0.75154839,0.61361290,0.38638710,0.00000000,0.24547248
451,3x5_Dynamic_Binary_Shallow,0.92050733,0.33532601,0.66467399,0.00000000,0.04652815,0.78181818,0.37833333,0.62166667,0.00000000,0.04272200
519,3x5_Dynamic_Binary_Shallow,0.91906347,0.68799807,0.31200193,0.00000000,0.35644672,0.84073563,0.65567816,0.34432184,0.00000000,0.12179866
52,3x5_Dynamic_Binary_Shallow,0.96612879,0.77639321,0.22360679,0.00000000,0.38624820,0.92196825,0.76184127,0.23815873,0.00000000,0.25837985
537,3x5_Dynamic_Binary_Shallow,0.98951442,0.47986538,0.52013462,0.00000000,0.05583428,0.86107143,0.45535714,0.54464286,0.00000000,0.04355983
545,3x5_Dynamic_Binary_Shallow,0.93575386,0.73765529,0.26234471,0.00000000,0.27864676,0.92776903,0.73385827,0.26614173,0.00000000,0.26865139
563,3x5_Dynamic_Binary_Shallow,0.97611993,0.78375309,0.21624691,0.00000000,0.33730216,0.95409524,0.78342857,0.21657143,0.00000000,0.36729316
850,3x5_Dynamic_Binary_Shallow,0.91234568,0.66098765,0.33901235,0.00000000,0.29926208,0.87066667,0.65555556,0.34444444,0.00000000,0.23467476
863,3x5_Dynamic_Binary_Shallow,0.89125581,0.45597301,0.54402699,0.00000000,0.30000385,0.84749175,0.45210833,0.54789167,0.00000000,0.28909164
887,3x5_Dynamic_Binary_Shallow,0.86485223,0.74728145,0.25271855,0.00000000,0.26928295,0.84240861,0.74469549,0.25530451,0.00000000,0.22172085
891,3x5_Dynamic_Binary_Shallow,0.86866393,0.63551806,0.36448194,0.00000000,0.26674402,0.86667613,0.63564254,0.36435746,0.00000000,0.26750907
94,3x5_Dynamic_Binary_Shallow,0.96971669,0.62791679,0.37208321,0.00000000,0.13931471,0.94370744,0.62325370,0.37674630,0.00000000,0.16575619
96,3x5_Dynamic_Binary_Shallow,0.96520989,0.65501141,0.34498859,0.00000000,0.61138114,0.80358974,0.63381766,0.36618234,0.00000000,0.33080283
151,3x5_Dynamic_Double_AR_Shallow,0.99447291,0.23132097,0.31972067,0.44895836,0.02436563,0.84160862,0.24204762,0.30947619,0.44847619,0.07836852
17,3x5_Dynamic_Double_AR_Shallow,0.99802471,0.67014308,0.10221111,0.22764582,0.07931129,0.98045083,0.65170426,0.11911028,0.22918546,0.19459191
174,3x5_Dynamic_Double_AR_Shallow,0.99968123,0.42496104,0.28204091,0.29299805,0.02222511,0.94725617,0.41247368,0.27452632,0.31300000,0.15881136
176,3x5_Dynamic_Double_AR_Shallow,0.87480883,0.66054572,0.03945565,0.29999863,0.21111687,0.85710139,0.65317117,0.03687568,0.30995315,0.18214851
19,3x5_Dynamic_Double_AR_Shallow,0.99686190,0.61225606,0.22030510,0.16743884,0.30623381,0.99548638,0.60959806,0.22210714,0.16829480,0.31607130
212,3x5_Dynamic_Double_AR_Shallow,0.99652593,0.49813620,0.12043011,0.38143369,0.14249864,0.92866509,0.47290323,0.13354839,0.39354839,0.26368873
267,3x5_Dynamic_Double_AR_Shallow,0.99922119,0.57616159,0.09350657,0.33033184,0.05620084,0.99333995,0.57401460,0.09152015,0.33446525,0.06602114
329,3x5_Dynamic_Double_AR_Shallow,0.93159840,0.15138433,0.14698372,0.70163195,0.07350362,0.78596351,0.14301799,0.15534633,0.70163568,0.06174402
43,3x5_Dynamic_Double_AR_Shallow,0.84821742,0.60303320,0.10762319,0.28934361,0.19434673,0.81737907,0.59866667,0.11501075,0.28632258,0.18668763
451,3x5_Dynamic_Double_AR_Shallow,0.97005031,0.20000733,0.22777839,0.57221429,0.02754104,0.81350000,0.18106061,0.24196970,0.57696970,0.01398968
519,3x5_Dynamic_Double_AR_Shallow,0.96667397,0.52940989,0.12643701,0.34415310,0.24176623,0.88450608,0.48747126,0.15436782,0.35816092,0.11287670
52,3x5_Dynamic_Double_AR_Shallow,0.98723693,0.65642636,0.10040587,0.24316777,0.23612040,0.95326808,0.61706349,0.11623810,0.26669841,0.20259255
537,3x5_Dynamic_Double_AR_Shallow,0.99771355,0.42865385,0.27786058,0.29348558,0.05709802,0.87933333,0.37750000,0.32535714,0.29714286,0.05481312
545,3x5_Dynamic_Double_AR_Shallow,0.98314267,0.71865267,0.03771945,0.24362788,0.26724836,0.97832177,0.71627297,0.03931759,0.24440945,0.26140002
563,3x5_Dynamic_Double_AR_Shallow,0.99108858,0.74720988,0.03152028,0.22126984,0.22273913,0.98464667,0.74717460,0.03066667,0.22215873,0.26682303
850,3x5_Dynamic_Double_AR_Shallow,0.95756630,0.59691358,0.05575309,0.34733333,0.22537774,0.93199288,0.59355556,0.05777778,0.34866667,0.18707328
863,3x5_Dynamic_Double_AR_Shallow,0.96890645,0.21619778,0.13900970,0.64479252,0.11839026,0.93683254,0.20197243,0.14080567,0.65722190,0.11430945
887,3x5_Dynamic_Double_AR_Shallow,0.92534368,0.59539500,0.07822743,0.32637758,0.23747378,0.91166418,0.58753381,0.07725558,0.33521060,0.20407590
891,3x5_Dynamic_Double_AR_Shallow,0.93952056,0.61847612,0.05849977,0.32302411,0.25125553,0.93931415,0.61851545,0.05837275,0.32311179,0.25312825
94,3x5_Dynamic_Double_AR_Shallow,0.98292875,0.42840082,0.12403102,0.44756816,0.06576152,0.96885420,0.42407045,0.12540564,0.45052391,0.08082634
96,3x5_Dynamic_Double_AR_Shallow,0.99316287,0.54133333,0.04669710,0.41196957,0.31235992,0.93943531,0.49809117,0.07353276,0.42837607,0.28459223
