dataset,algorithm,hybrid_accuracy_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_reject_test,hybrid_kappa_test
151,5x5_Dynamic_Binary_Shallow,0.99498123,0.00000000,0.02363982,0.81476190,0.00000000,0.08368589
17,5x5_Dynamic_Binary_Shallow,0.99394668,0.00000000,0.10731407,0.96203634,0.00000000,0.25578797
174,5x5_Dynamic_Binary_Shallow,0.99988636,0.00000000,0.02221626,0.91489474,0.00000000,0.14304609
176,5x5_Dynamic_Binary_Shallow,0.82038077,0.00000000,0.26774041,0.78610811,0.00000000,0.22793521
19,5x5_Dynamic_Binary_Shallow,0.99301690,0.00000000,0.44851131,0.98344603,0.00000000,0.44220611
212,5x5_Dynamic_Binary_Shallow,0.98458781,0.00000000,0.19162886,0.82838710,0.00000000,0.27138543
267,5x5_Dynamic_Binary_Shallow,0.99818602,0.00000000,0.17385514,0.99008886,0.00000000,0.18199816
329,5x5_Dynamic_Binary_Shallow,0.89632041,0.00000000,0.13240246,0.68740630,0.00000000,0.11973260
43,5x5_Dynamic_Binary_Shallow,0.77465428,0.00000000,0.23346316,0.75219355,0.00000000,0.26039706
451,5x5_Dynamic_Binary_Shallow,0.91724725,0.00000000,0.03736641,0.77454545,0.00000000,0.05070448
519,5x5_Dynamic_Binary_Shallow,0.91624067,0.00000000,0.33735210,0.84278161,0.00000000,0.11309353
52,5x5_Dynamic_Binary_Shallow,0.96524252,0.00000000,0.37636106,0.91857143,0.00000000,0.24286440
537,5x5_Dynamic_Binary_Shallow,0.98796635,0.00000000,0.04944601,0.85857143,0.00000000,0.02485254
545,5x5_Dynamic_Binary_Shallow,0.93575386,0.00000000,0.28037598,0.92771654,0.00000000,0.27359974
563,5x5_Dynamic_Binary_Shallow,0.97571781,0.00000000,0.33039083,0.95314286,0.00000000,0.35660182
850,5x5_Dynamic_Binary_Shallow,0.91192593,0.00000000,0.29892069,0.87088889,0.00000000,0.24527345
863,5x5_Dynamic_Binary_Shallow,0.89200097,0.00000000,0.29757449,0.84650359,0.00000000,0.28695053
887,5x5_Dynamic_Binary_Shallow,0.86556453,0.00000000,0.26928295,0.84267254,0.00000000,0.22172085
891,5x5_Dynamic_Binary_Shallow,0.86869223,0.00000000,0.26749657,0.86688426,0.00000000,0.26788403
94,5x5_Dynamic_Binary_Shallow,0.97100635,0.00000000,0.14224772,0.94492464,0.00000000,0.16756895
