dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
151,5x5_Static_Binary_Shallow,0.98579076,0.46843725,0.53156275,0.00000000,0.04478937,0.80247619,0.48157143,0.51842857,0.00000000,0.16815514
17,5x5_Static_Binary_Shallow,0.99457115,0.77574409,0.22425591,0.00000000,0.15383259,0.95922306,0.76172932,0.23827068,0.00000000,0.29625728
174,5x5_Static_Binary_Shallow,0.99851948,0.55651688,0.44348312,0.00000000,0.03222596,0.91189474,0.54531579,0.45468421,0.00000000,0.17178077
176,5x5_Static_Binary_Shallow,0.82017284,0.68870265,0.31129735,0.00000000,0.27787156,0.78557838,0.67674234,0.32325766,0.00000000,0.21735941
19,5x5_Static_Binary_Shallow,0.99540906,0.63348747,0.36651253,0.00000000,0.44619609,0.98657078,0.63380091,0.36619909,0.00000000,0.44342797
212,5x5_Static_Binary_Shallow,0.98243728,0.56673835,0.43326165,0.00000000,0.23072944,0.82838710,0.55354839,0.44645161,0.00000000,0.28031994
267,5x5_Static_Binary_Shallow,0.99781345,0.72274165,0.27725835,0.00000000,0.16448098,0.99154766,0.71383370,0.28616630,0.00000000,0.17613791
329,5x5_Static_Binary_Shallow,0.84542941,0.53916129,0.46083871,0.00000000,0.15776604,0.67176762,0.54530285,0.45469715,0.00000000,0.10629289
43,5x5_Static_Binary_Shallow,0.77588775,0.65909855,0.34090145,0.00000000,0.25179808,0.75090323,0.65552688,0.34447312,0.00000000,0.20792544
451,5x5_Static_Binary_Shallow,0.91914835,0.42886447,0.57113553,0.00000000,0.07281194,0.76060606,0.44121212,0.55878788,0.00000000,0.02842537
519,5x5_Static_Binary_Shallow,0.91943494,0.69134380,0.30865620,0.00000000,0.36099549,0.83940230,0.65701149,0.34298851,0.00000000,0.12386215
52,5x5_Static_Binary_Shallow,0.96524272,0.78253245,0.21746755,0.00000000,0.39638982,0.91744444,0.76984127,0.23015873,0.00000000,0.28191063
537,5x5_Static_Binary_Shallow,0.98826442,0.57652404,0.42347596,0.00000000,0.08252966,0.85500000,0.56535714,0.43464286,0.00000000,0.10764893
545,5x5_Static_Binary_Shallow,0.93575386,0.72655585,0.27344415,0.00000000,0.27100062,0.92771654,0.72288714,0.27711286,0.00000000,0.26499190
563,5x5_Static_Binary_Shallow,0.97821517,0.79039859,0.20960141,0.00000000,0.36414008,0.95409524,0.78952381,0.21047619,0.00000000,0.37425978
850,5x5_Static_Binary_Shallow,0.91207407,0.65646914,0.34353086,0.00000000,0.30254407,0.86911111,0.65422222,0.34577778,0.00000000,0.23708138
863,5x5_Static_Binary_Shallow,0.88310279,0.49011796,0.50988204,0.00000000,0.31180124,0.83942730,0.48483984,0.51516016,0.00000000,0.29876774
887,5x5_Static_Binary_Shallow,0.86556453,0.74728145,0.25271855,0.00000000,0.26928295,0.84267254,0.74469549,0.25530451,0.00000000,0.22172085
891,5x5_Static_Binary_Shallow,0.86869608,0.63256368,0.36743632,0.00000000,0.26582937,0.86687244,0.63256623,0.36743377,0.00000000,0.26631233
94,5x5_Static_Binary_Shallow,0.97118507,0.65823805,0.34176195,0.00000000,0.17201596,0.94288164,0.65547138,0.34452862,0.00000000,0.18781342
96,5x5_Static_Binary_Shallow,0.96413036,0.65143672,0.34856328,0.00000000,0.60513083,0.80284900,0.63162393,0.36837607,0.00000000,0.32111221
151,5x5_Static_Double_AR_Shallow,0.99122407,0.37052850,0.23811298,0.39135852,0.03662412,0.83041550,0.33123810,0.24119048,0.42757143,0.10124892
17,5x5_Static_Double_AR_Shallow,0.99821559,0.70150768,0.07264536,0.22584696,0.08440689,0.97498246,0.67978070,0.08223684,0.23798246,0.17834872
174,5x5_Static_Double_AR_Shallow,0.99897493,0.51810065,0.23436429,0.24753506,0.02623614,0.93628242,0.47789474,0.23447368,0.28763158,0.16200921
176,5x5_Static_Double_AR_Shallow,0.87436290,0.62459491,0.06667193,0.30873316,0.21203081,0.84634417,0.61042883,0.06950991,0.32006126,0.15307607
19,5x5_Static_Double_AR_Shallow,0.99781905,0.60497569,0.25789651,0.13712780,0.31022891,0.99555381,0.60198010,0.25671058,0.14130932,0.31780175
212,5x5_Static_Double_AR_Shallow,0.99706524,0.51777778,0.11347670,0.36874552,0.14922848,0.93053890,0.49096774,0.11741935,0.39161290,0.26028569
267,5x5_Static_Double_AR_Shallow,0.99890802,0.59737479,0.09565815,0.30696707,0.06069755,0.99414700,0.59183011,0.09650587,0.31166402,0.07046451
329,5x5_Static_Double_AR_Shallow,0.90203560,0.23257275,0.13082639,0.63660086,0.09156001,0.74773052,0.22847976,0.13376762,0.63775262,0.05912193
43,5x5_Static_Double_AR_Shallow,0.84566863,0.62445613,0.09811910,0.27742477,0.20143322,0.81205891,0.61836559,0.10133333,0.28030108,0.15961499
451,5x5_Static_Double_AR_Shallow,0.97084666,0.26156044,0.21274542,0.52569414,0.04508827,0.83528211,0.22803030,0.22515152,0.54681818,0.01457642
519,5x5_Static_Double_AR_Shallow,0.96608774,0.54841278,0.11579375,0.33579347,0.24329807,0.88374099,0.52190805,0.13712644,0.34096552,0.11396189
52,5x5_Static_Double_AR_Shallow,0.98944832,0.64578260,0.09742214,0.25679526,0.22690151,0.94758947,0.60458730,0.11463492,0.28077778,0.17997849
537,5x5_Static_Double_AR_Shallow,0.99800237,0.51041827,0.21914423,0.27043750,0.07503676,0.84233333,0.43750000,0.25107143,0.31142857,0.00000122
545,5x5_Static_Double_AR_Shallow,0.98492615,0.70536016,0.03357247,0.26106737,0.25595526,0.97932087,0.70146982,0.03317585,0.26535433,0.24777850
563,5x5_Static_Double_AR_Shallow,0.99082720,0.75433510,0.03472310,0.21094180,0.22582299,0.98302666,0.75231746,0.03619048,0.21149206,0.26833340
850,5x5_Static_Double_AR_Shallow,0.95521150,0.58750617,0.07320988,0.33928395,0.22494085,0.93031945,0.58533333,0.07644444,0.33822222,0.20042081
863,5x5_Static_Double_AR_Shallow,0.95500062,0.23199172,0.17572981,0.59227847,0.12479572,0.92820141,0.21957290,0.17050476,0.60992235,0.13225221
887,5x5_Static_Double_AR_Shallow,0.90471855,0.67403728,0.09428420,0.23167852,0.23231904,0.89011618,0.67026625,0.09823789,0.23149587,0.19530928
891,5x5_Static_Double_AR_Shallow,0.94300983,0.61825265,0.03643190,0.34531545,0.24447911,0.94251950,0.61814806,0.03640255,0.34544939,0.24542168
94,5x5_Static_Double_AR_Shallow,0.97421071,0.52067422,0.10684648,0.37247930,0.07712516,0.95924158,0.51832359,0.10732264,0.37435377,0.09666804
96,5x5_Static_Double_AR_Shallow,0.99307450,0.56363105,0.05700484,0.37936411,0.34583825,0.92105410,0.50749288,0.08911681,0.40339031,0.26915725
151,5x5_Static_Double_GB_Shallow,0.98005538,0.46843725,0.23811298,0.29344977,0.03670102,0.80668874,0.48157143,0.24119048,0.27723810,0.12791034
17,5x5_Static_Double_GB_Shallow,0.99456308,0.77574409,0.07264536,0.15161055,0.10723085,0.97283854,0.76172932,0.08223684,0.15603383,0.25404487
174,5x5_Static_Double_GB_Shallow,0.99812911,0.55651688,0.23436429,0.20911883,0.02900959,0.93041417,0.54531579,0.23447368,0.22021053,0.18212737
176,5x5_Static_Double_GB_Shallow,0.86263080,0.68870265,0.06667193,0.24462542,0.20721007,0.83976376,0.67674234,0.06950991,0.25374775,0.16295576
19,5x5_Static_Double_GB_Shallow,0.99483583,0.63348747,0.25789651,0.10861602,0.36217029,0.99104467,0.63380091,0.25671058,0.10948851,0.36579394
212,5x5_Static_Double_GB_Shallow,0.99168757,0.56673835,0.11347670,0.31978495,0.16752299,0.91289761,0.55354839,0.11741935,0.32903226,0.27156560
267,5x5_Static_Double_GB_Shallow,0.99732405,0.72274165,0.09565815,0.18160021,0.10907349,0.99169806,0.71383370,0.09650587,0.18966043,0.12039155
329,5x5_Static_Double_GB_Shallow,0.79288779,0.53916129,0.13082639,0.33001233,0.11152070,0.69053585,0.54530285,0.13376762,0.32092954,0.06783920
43,5x5_Static_Double_GB_Shallow,0.83748844,0.65909855,0.09811910,0.24278235,0.19437968,0.80351308,0.65552688,0.10133333,0.24313978,0.14399368
451,5x5_Static_Double_GB_Shallow,0.96140733,0.42886447,0.21274542,0.35839011,0.07103580,0.76916955,0.44121212,0.22515152,0.33363636,0.02539709
519,5x5_Static_Double_GB_Shallow,0.94070170,0.69134380,0.11579375,0.19286245,0.31369563,0.86423529,0.65701149,0.13712644,0.20586207,0.10616214
52,5x5_Static_Double_GB_Shallow,0.97734574,0.78253245,0.09742214,0.12004541,0.37078202,0.93471496,0.76984127,0.11463492,0.11552381,0.26262175
537,5x5_Static_Double_GB_Shallow,0.99544120,0.57652404,0.21914423,0.20433173,0.08930923,0.86709524,0.56535714,0.25107143,0.18357143,0.09558091
545,5x5_Static_Double_GB_Shallow,0.98250137,0.72655585,0.03357247,0.23987168,0.26737958,0.97778442,0.72288714,0.03317585,0.24393701,0.26287352
563,5x5_Static_Double_GB_Shallow,0.98534503,0.79039859,0.03472310,0.17487831,0.25225159,0.97609823,0.78952381,0.03619048,0.17428571,0.29041562
850,5x5_Static_Double_GB_Shallow,0.94500449,0.65646914,0.07320988,0.27032099,0.24751701,0.91763635,0.65422222,0.07644444,0.26933333,0.20599991
863,5x5_Static_Double_GB_Shallow,0.87932658,0.49011796,0.17572981,0.33415223,0.20393683,0.85082185,0.48483984,0.17050476,0.34465541,0.20489851
887,5x5_Static_Double_GB_Shallow,0.89193824,0.74728145,0.09428420,0.15843435,0.23422361,0.88178579,0.74469549,0.09823789,0.15706662,0.20672611
891,5x5_Static_Double_GB_Shallow,0.94106712,0.63256368,0.03643190,0.33100442,0.24993732,0.94069051,0.63256623,0.03640255,0.33103122,0.25136850
94,5x5_Static_Double_GB_Shallow,0.96271870,0.65823805,0.10684648,0.23491547,0.11505487,0.94911890,0.65547138,0.10732264,0.23720598,0.13459973
96,5x5_Static_Double_GB_Shallow,0.98290722,0.65143672,0.05700484,0.29155844,0.45643413,0.89062660,0.63162393,0.08911681,0.27925926,0.28175659
151,5x5_Static_Ternary_Shallow,0.98449426,0.39543975,0.25982876,0.34473148,0.03487785,0.80276167,0.38314286,0.25980952,0.35704762,0.10045663
17,5x5_Static_Ternary_Shallow,0.99758546,0.67198000,0.15387107,0.17414892,0.07812077,0.97196364,0.65587093,0.16949875,0.17463033,0.17360790
174,5x5_Static_Ternary_Shallow,0.99887007,0.52776299,0.27096039,0.20127662,0.02681569,0.92987644,0.48821053,0.30505263,0.20673684,0.13882794
176,5x5_Static_Ternary_Shallow,0.85574642,0.59153540,0.15715910,0.25130551,0.18053587,0.81548223,0.59406847,0.15376577,0.25216577,0.13931800
19,5x5_Static_Ternary_Shallow,0.99508176,0.58792447,0.27631224,0.13576330,0.27152683,0.99412587,0.58830622,0.27430165,0.13739212,0.29306701
212,5x5_Static_Ternary_Shallow,0.99154927,0.49448029,0.22279570,0.28272401,0.14769567,0.89148177,0.48000000,0.24193548,0.27806452,0.26147696
267,5x5_Static_Ternary_Shallow,0.99905155,0.63581293,0.21542088,0.14876620,0.07839886,0.99407069,0.62724743,0.21500582,0.15774675,0.09312684
329,5x5_Static_Ternary_Shallow,0.82430544,0.46184252,0.24508352,0.29307396,0.08403489,0.69300865,0.45979610,0.25348426,0.28671964,0.04956781
43,5x5_Static_Ternary_Shallow,0.83478563,0.59599236,0.16289908,0.24110856,0.22145803,0.80079037,0.60270968,0.15862366,0.23866667,0.15440425
451,5x5_Static_Ternary_Shallow,0.95257266,0.31977839,0.29636264,0.38385897,0.05544096,0.80828860,0.29696970,0.33606061,0.36696970,0.07165119
