dataset,algorithm,train_acc_mean,train_reject_mean,train_grader_kappa_mean,test_acc_mean,test_reject_mean,test_grader_kappa_mean
bench,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.99092445,0.00000000,0.03865879,0.80214286,0.00000000,0.10365172
gamma,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.92984344,0.00000000,0.17775887,0.87259727,0.00000000,0.18576522
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.99367309,0.00000000,0.12671741,0.95886591,0.00000000,0.27198631
parkns,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.99965909,0.00000000,0.03344103,0.90668421,0.00000000,0.13871502
blood,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.82014317,0.00000000,0.27518576,0.78691171,0.00000000,0.23204664
car,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.99539616,0.00000000,0.44616387,0.98680132,0.00000000,0.44229907
vertebr,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.98258065,0.00000000,0.23156385,0.82838710,0.00000000,0.27203285
bank,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.99802400,0.00000000,0.17480230,0.99110970,0.00000000,0.19224566
diabet,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.86747804,0.00000000,0.14591590,0.67941379,0.00000000,0.13082977
htru,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.98466868,0.00000000,0.16448053,0.98003142,0.00000000,0.17175461
haber,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.77567009,0.00000000,0.24121815,0.75217204,0.00000000,0.20763420
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.91954579,0.00000000,0.05885764,0.77469697,0.00000000,0.03409668
heart-f,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.91594272,0.00000000,0.34782741,0.83344828,0.00000000,0.07509096
iono,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.96568736,0.00000000,0.40504511,0.92028571,0.00000000,0.25653963
cerv-c,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.98827885,0.00000000,0.08570371,0.86071429,0.00000000,0.02634930
rice,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.93575386,0.00000000,0.27270631,0.92771654,0.00000000,0.26293105
churn,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.97638095,0.00000000,0.35331262,0.95377778,0.00000000,0.37612186
taiwan,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.99400369,0.00000000,0.28281368,0.97087546,0.00000000,0.28810094
letter,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.85820333,0.00000000,0.42067835,0.82293000,0.00000000,0.41613728
drybean,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.93913744,0.00000000,0.47761656,0.91674414,0.00000000,0.46885169
droid,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.97113581,0.00000000,0.29654382,0.96598259,0.00000000,0.29208717
