dataset,algorithm,hybrid_accuracy_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_reject_test,hybrid_kappa_test
174,1x5_Dynamic_Binary_Shallow,0.99943182,0.00000000,0.02994370,0.91276316,0.00000000,0.16762076
19,1x5_Dynamic_Binary_Shallow,0.99639925,0.00000000,0.44220365,0.98842250,0.00000000,0.44255566
212,1x5_Dynamic_Binary_Shallow,0.98369176,0.00000000,0.21210924,0.83064516,0.00000000,0.29315983
43,1x5_Dynamic_Binary_Shallow,0.77577668,0.00000000,0.25335897,0.74505376,0.00000000,0.22672699
451,1x5_Dynamic_Binary_Shallow,0.91763278,0.00000000,0.05610496,0.76818182,0.00000000,0.10721723
52,1x5_Dynamic_Binary_Shallow,0.96692084,0.00000000,0.35734868,0.92162698,0.00000000,0.23127907
174,1x5_Dynamic_Double_AR_Shallow,0.99960317,0.24786364,0.02836086,0.93911996,0.27934211,0.17220823
19,1x5_Dynamic_Double_AR_Shallow,0.99826581,0.14078549,0.29893304,0.99765064,0.15017307,0.31079826
212,1x5_Dynamic_Double_AR_Shallow,0.99851461,0.38942652,0.14407737,0.93319821,0.39838710,0.25619962
43,1x5_Dynamic_Double_AR_Shallow,0.84060969,0.26561397,0.18026174,0.80984267,0.26150538,0.15490255
451,1x5_Dynamic_Double_AR_Shallow,0.96423028,0.52090201,0.03839517,0.77996032,0.53750000,0.01919457
52,1x5_Dynamic_Double_AR_Shallow,0.98971467,0.26684549,0.20786986,0.95683177,0.33496032,0.16951846
174,1x5_Dynamic_Double_GB_Shallow,0.99926972,0.22080682,0.03075998,0.93977147,0.23815789,0.18141784
19,1x5_Dynamic_Double_GB_Shallow,0.99595298,0.11188245,0.35408179,0.99317172,0.11805854,0.35820457
212,1x5_Dynamic_Double_GB_Shallow,0.99521351,0.35663082,0.15667287,0.92864947,0.35967742,0.28181058
43,1x5_Dynamic_Double_GB_Shallow,0.83874567,0.24928986,0.18397318,0.80554912,0.25155914,0.14678320
451,1x5_Dynamic_Double_GB_Shallow,0.96143153,0.40456960,0.05570479,0.75463745,0.35909091,0.01009861
52,1x5_Dynamic_Double_GB_Shallow,0.98103431,0.14499146,0.33425040,0.94075681,0.16523810,0.19858681
174,1x5_Dynamic_Ternary_Shallow,0.99961832,0.19687987,0.02803086,0.94010226,0.23065789,0.17607469
19,1x5_Dynamic_Ternary_Shallow,0.99486522,0.14120232,0.27076508,0.99530952,0.14584958,0.28425499
