dataset,algorithm,train_acc_mean,train_reject_mean,train_grader_kappa_mean,test_acc_mean,test_reject_mean,test_grader_kappa_mean
bench,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.98533086,0.29948420,0.04991425,0.81919327,0.34603175,0.10673061
brst-w,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.99887298,0.23374363,0.07853998,0.97843996,0.24543651,0.16255339
blood,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.89637592,0.43212162,0.19191995,0.86908868,0.43754354,0.15814617
car,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.99653790,0.10958851,0.29158815,0.99190487,0.12520388,0.27764381
vertebr,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.99468487,0.34934289,0.15267501,0.90649929,0.34731183,0.22426366
haber,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.88117466,0.38803030,0.23183188,0.80458855,0.38139785,0.14009923
brst-c,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.96376450,0.40553114,0.07532631,0.75370370,0.46414141,-0.01523168
rice,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.98854957,0.29453679,0.23874181,0.98366917,0.30061242,0.23335325
churn,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.99035658,0.19494415,0.23223655,0.98106991,0.19714286,0.27624750
matern,AR_Prio_5x1_decision_tree-xgboost-dt-double,0.96183099,0.53901795,0.12578736,0.92164802,0.56107875,0.12112440
bench,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.98138427,0.19762961,0.05145376,0.78368733,0.23253968,0.07848007
brst-w,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.99764276,0.15556723,0.08471696,0.97477825,0.17635756,0.16643979
blood,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.85743959,0.32363232,0.16994020,0.80780980,0.31946547,0.11996159
car,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.99281785,0.11215996,0.25488025,0.98947542,0.11402070,0.27040095
vertebr,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.98728727,0.25794504,0.15818310,0.88902409,0.25806452,0.26979659
haber,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.82384046,0.25286342,0.21683868,0.77788034,0.25820789,0.08829563
brst-c,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.96075622,0.29203602,0.09222438,0.74114358,0.29696970,0.00309878
rice,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.97725037,0.26815398,0.22726379,0.96874148,0.27051619,0.22899047
churn,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.98862818,0.07469724,0.25354477,0.96616126,0.07386243,0.28498148
matern,AR_Prio_5x1_decision_tree-xgboost-dt-ternary,0.90750359,0.28968662,0.13325245,0.85074506,0.30018443,0.11711523
bench,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.98268688,0.18837467,0.08754234,0.77131406,0.26619048,0.08690461
brst-w,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.99523448,0.05741096,0.26270077,0.96554386,0.10130535,0.21676655
blood,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.93170931,0.27778625,0.42817113,0.83596937,0.31545345,0.14557961
car,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.99309858,0.01311724,0.83545631,0.97895209,0.01967782,0.70610309
vertebr,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.98909794,0.17933094,0.34066655,0.88943542,0.23118280,0.27572784
haber,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.95924550,0.28684848,0.60300344,0.75982995,0.33763441,0.04790187
brst-c,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.98397000,0.28893468,0.15336025,0.68433862,0.34040404,-0.11910606
rice,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.99836652,0.14145037,0.57081261,0.96553292,0.19860017,0.24726099
churn,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.99302127,0.05500294,0.59374866,0.96716930,0.06359788,0.42488643
matern,AR_Prio_5x1_decision_tree-xgboost-grey-double,0.93660257,0.22576826,0.42865814,0.87609906,0.31099139,0.29472967
bench,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.97579856,0.11947795,0.10283362,0.76967482,0.17158730,0.08071197
brst-w,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.99292763,0.03339298,0.35671878,0.95943241,0.06207185,0.21847889
blood,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.92425407,0.23673044,0.49904817,0.80618779,0.27760360,0.08869349
car,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.99227338,0.00707299,0.88923007,0.97750179,0.01428171,0.74261905
vertebr,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.97938828,0.12377539,0.42949175,0.86740476,0.16989247,0.29266606
haber,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.95401023,0.22585639,0.72605087,0.75533416,0.28444444,0.05353305
brst-c,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.97893790,0.18941087,0.21738074,0.72398028,0.24166667,-0.01892558
rice,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.99519220,0.10302323,0.71534364,0.95751135,0.17882765,0.22125715
churn,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.99017697,0.04291593,0.63514415,0.95970972,0.05259259,0.37883722
matern,AR_Prio_5x1_decision_tree-xgboost-grey-ternary,0.90994716,0.12353125,0.49522878,0.84120928,0.17717272,0.30432496
bench,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.98980543,0.38387283,0.03851068,0.84649097,0.43682540,0.13260914
brst-w,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.99825026,0.23706115,0.07930972,0.97953166,0.25017753,0.17051871
blood,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.88196620,0.34926999,0.21206294,0.85494917,0.35476877,0.16523903
car,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.99814021,0.13457965,0.31347844,0.99725138,0.14256508,0.31195158
vertebr,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.99570096,0.36642772,0.15018776,0.93563021,0.39139785,0.25788310
haber,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.85754887,0.31700747,0.21024795,0.80301783,0.31143369,0.13739175
brst-c,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.97446913,0.49139194,0.05535692,0.76707672,0.54570707,-0.00522020
rice,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.98598011,0.27235346,0.25030184,0.98164361,0.27515311,0.24446329
churn,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.99115572,0.20016461,0.23216585,0.98347568,0.20137566,0.27732100
matern,AR_Prio_5x3_decision_tree-xgboost-dt-double,0.95465863,0.55217997,0.13398273,0.91709593,0.55377273,0.13304882
bench,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.98508363,0.27331228,0.03993752,0.81009405,0.29317460,0.07200789
brst-w,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.99827016,0.19410712,0.07241632,0.97307366,0.19266917,0.16262629
blood,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.85536895,0.25352468,0.18219404,0.81344801,0.25528529,0.13736349
car,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.99343950,0.13535232,0.27316085,0.99246282,0.13368396,0.29138236
vertebr,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.99201645,0.26786141,0.15400440,0.88324244,0.23655914,0.27328230
haber,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.83733363,0.26920422,0.22374836,0.78781738,0.28258065,0.10768108
brst-c,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.96807350,0.39010684,0.07550517,0.74610871,0.41237374,-0.01065868
rice,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.97864741,0.26398367,0.23504011,0.96963827,0.26675416,0.22636291
churn,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.99048282,0.08256320,0.26460041,0.97124914,0.08328042,0.30842324
matern,AR_Prio_5x3_decision_tree-xgboost-dt-ternary,0.91294313,0.28625094,0.18145098,0.87165632,0.29421148,0.17873773
bench,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.99072952,0.28148064,0.05820648,0.81829159,0.32920635,0.14225062
brst-w,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.99894297,0.07309789,0.23836163,0.96755582,0.10244361,0.22000496
blood,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.90962860,0.28044894,0.36635579,0.84343980,0.30443844,0.15059482
car,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.99832993,0.02488407,0.75716570,0.98720781,0.03279339,0.68123122
vertebr,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.99766189,0.23321386,0.27637506,0.90749794,0.27096774,0.29095359
haber,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.94155429,0.31008037,0.48874260,0.78975467,0.33548387,0.07475453
brst-c,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.98543417,0.43956654,0.07968717,0.77894180,0.50580808,0.00226545
rice,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.99881617,0.14200447,0.56979162,0.96364700,0.19553806,0.23944866
churn,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.99757813,0.06812463,0.55439713,0.97234076,0.07767196,0.41031614
matern,AR_Prio_5x3_decision_tree-xgboost-grey-double,0.96708063,0.27292363,0.37711787,0.90516578,0.35080567,0.27641831
