y_truth,y_glass,y_black,y_grader,y_grader2
19,19,19,0,0
8,2,8,1,1
13,20,13,1,0
6,2,6,1,0
18,1,18,1,0
1,1,1,1,0
0,0,0,0,0
9,12,9,1,0
12,12,12,0,0
23,1,23,1,0
14,2,14,1,0
6,2,6,1,0
17,15,17,1,0
5,1,5,1,1
14,1,14,1,0
2,2,2,1,1
19,19,19,0,0
9,12,9,1,0
9,12,9,1,0
7,1,7,1,0
18,1,18,1,0
14,2,14,1,0
2,2,2,1,0
12,2,12,1,1
22,22,22,0,0
7,2,7,1,1
6,2,6,1,0
11,11,11,0,0
11,12,11,1,0
23,19,23,1,1
1,1,1,1,1
12,12,12,1,0
6,2,6,1,0
14,1,14,1,0
15,15,15,0,0
6,2,6,1,1
4,2,4,1,0
23,1,23,1,0
4,2,4,1,0
23,1,23,1,0
6,2,6,1,0
21,19,21,1,0
22,1,22,1,1
6,2,6,1,0
17,1,17,1,0
24,1,24,1,0
11,11,11,0,0
24,19,24,1,0
9,15,9,1,0
18,1,18,1,0
16,2,16,1,0
16,2,16,1,1
3,1,3,1,0
2,1,2,1,1
11,17,11,1,0
2,20,2,1,0
4,2,4,1,0
23,2,23,1,0
7,1,7,1,0
11,11,11,0,0
7,1,7,1,0
4,1,4,1,0
24,1,24,1,1
7,1,7,1,1
16,1,16,1,1
16,2,16,1,0
16,2,16,1,1
9,20,9,1,1
3,1,3,1,0
17,1,17,1,0
12,12,12,1,0
0,0,0,0,0
13,20,13,1,0
12,2,12,1,1
15,15,15,0,0
15,1,15,1,1
13,20,13,1,0
22,22,22,0,0
21,1,21,1,0
21,1,21,1,1
4,2,4,1,0
13,2,13,1,1
24,19,24,1,0
22,20,22,1,0
14,1,14,1,1
13,20,13,1,0
14,1,14,1,0
13,1,13,1,1
7,20,7,1,0
20,20,20,0,0
24,19,24,1,0
18,1,18,1,0
18,1,18,1,0
21,20,21,1,0
19,19,19,0,0
10,1,10,1,1
22,20,22,1,0
4,2,4,1,0
5,15,5,1,0
8,20,8,1,0
7,2,7,1,1
20,20,20,0,0
2,2,2,1,0
5,1,5,1,0
0,0,0,0,0
25,1,25,1,0
23,17,23,1,0
13,15,13,1,0
17,17,17,1,1
1,1,1,1,0
1,1,1,1,0
20,20,20,0,0
9,2,9,1,1
5,19,5,1,0
12,12,12,1,0
7,20,7,1,0
14,2,14,1,0
4,2,4,1,0
20,20,20,0,0
23,2,23,1,0
18,1,18,1,0
10,2,10,1,0
8,20,8,1,0
15,15,15,0,0
19,19,19,0,0
2,2,2,1,0
0,0,0,0,0
11,2,11,1,1
0,0,0,0,0
21,20,21,1,0
20,2,20,1,0
8,20,8,1,0
25,2,25,1,0
12,1,12,1,0
11,11,11,0,0
14,2,14,1,1
1,1,1,1,0
0,2,0,1,0
10,1,10,1,0
7,1,7,1,0
19,19,19,0,0
22,22,22,0,0
5,19,5,1,0
0,0,0,0,0
4,2,4,1,0
12,12,12,1,0
1,1,1,1,0
12,1,12,1,1
24,1,24,1,0
21,19,21,1,0
18,1,18,1,0
2,2,2,1,0
7,1,7,1,1
20,20,20,0,0
15,15,15,0,0
25,1,25,1,0
4,2,4,1,0
13,19,13,1,0
15,1,15,1,1
7,1,7,1,1
19,19,19,0,0
1,1,1,1,0
20,20,20,0,0
18,1,18,1,0
5,19,5,1,0
9,12,9,1,0
17,1,17,1,0
4,2,4,1,0
15,1,15,1,0
8,1,8,1,0
10,1,10,1,1
3,1,3,1,0
1,1,1,1,1
7,1,7,1,1
12,12,12,1,0
15,15,15,0,0
14,1,14,1,0
10,2,10,1,1
21,19,21,1,0
5,15,5,1,0
24,19,24,1,0
3,1,3,1,1
25,1,25,1,0
16,2,16,1,0
18,1,18,1,0
1,1,1,1,0
10,2,10,1,0
21,20,21,1,0
1,1,1,1,0
24,19,24,1,0
14,1,14,1,0
25,2,25,1,0
11,11,11,0,0
9,12,9,1,0
25,1,25,1,0
0,0,0,0,0
9,12,9,1,0
16,2,16,1,0
13,20,13,1,0
25,1,25,1,0
4,2,4,1,0
3,1,3,1,0
14,1,14,1,0
21,19,21,1,0
23,1,23,1,0
9,12,9,1,0
13,20,13,1,0
7,15,7,1,1
0,0,0,0,0
15,1,15,1,1
0,0,0,0,0
5,19,5,1,0
23,1,23,1,0
3,1,3,1,0
21,19,21,1,0
15,1,15,1,1
5,1,5,1,1
15,15,15,0,0
24,19,24,1,0
