y_truth,y_glass,y_black,y_grader
19,19,19,0
8,2,8,1
13,20,13,1
6,2,6,1
18,1,18,1
1,1,1,1
0,0,0,0
9,12,9,1
23,1,23,1
6,2,6,1
12,1,12,1
17,15,17,1
5,1,5,1
14,1,14,1
2,2,2,1
19,19,19,0
9,12,9,1
7,1,7,1
18,1,18,1
14,2,14,1
9,12,9,1
2,2,2,1
12,2,12,1
7,2,7,1
6,2,6,1
11,12,11,1
23,19,23,1
1,1,1,1
12,12,12,1
6,2,6,1
14,1,14,1
15,15,15,0
6,2,6,1
4,2,4,1
23,1,23,1
4,2,4,1
23,1,23,1
6,2,6,1
21,19,21,1
23,1,23,1
22,1,22,1
17,1,17,1
18,2,18,1
24,1,24,1
11,11,11,0
24,19,24,1
9,15,9,1
18,1,18,1
16,2,16,1
16,2,16,1
3,1,3,1
2,1,2,1
11,13,11,1
13,20,13,1
2,20,2,1
23,2,23,1
7,1,7,1
11,11,11,0
7,1,7,1
4,1,4,1
7,1,7,1
16,1,16,1
16,2,16,1
16,2,16,1
9,12,9,1
9,20,9,1
3,1,3,1
17,1,17,1
12,12,12,1
0,0,0,0
13,20,13,1
12,2,12,1
15,15,15,0
2,2,2,1
15,1,15,1
13,20,13,1
22,22,22,0
21,1,21,1
21,1,21,1
4,2,4,1
13,2,13,1
24,19,24,1
22,20,22,1
14,1,14,1
13,20,13,1
7,15,7,1
14,1,14,1
13,1,13,1
7,20,7,1
20,20,20,0
18,1,18,1
18,1,18,1
19,19,19,0
2,20,2,1
21,20,21,1
19,19,19,0
3,1,3,1
22,20,22,1
8,20,8,1
4,2,4,1
5,15,5,1
8,20,8,1
7,2,7,1
20,20,20,0
2,2,2,1
5,1,5,1
0,0,0,0
25,1,25,1
23,13,23,1
13,15,13,1
17,13,17,1
1,1,1,1
1,1,1,1
20,20,20,0
9,2,9,1
5,19,5,1
12,12,12,1
7,20,7,1
0,0,0,0
14,2,14,1
20,20,20,0
0,12,0,1
23,2,23,1
18,1,18,1
9,12,9,1
10,2,10,1
8,20,8,1
15,15,15,0
19,19,19,0
2,2,2,1
7,20,7,1
0,0,0,0
11,2,11,1
19,19,19,0
0,0,0,0
21,20,21,1
20,2,20,1
8,20,8,1
25,2,25,1
21,1,21,1
12,1,12,1
11,11,11,0
14,2,14,1
1,1,1,1
10,1,10,1
7,1,7,1
19,19,19,0
22,22,22,0
5,19,5,1
0,0,0,0
4,2,4,1
12,12,12,1
1,1,1,1
12,1,12,1
24,1,24,1
21,19,21,1
2,2,2,1
7,1,7,1
20,20,20,0
15,15,15,0
25,1,25,1
13,19,13,1
15,1,15,1
7,1,7,1
19,19,19,0
1,1,1,1
20,20,20,0
18,1,18,1
5,19,5,1
9,12,9,1
4,2,4,1
15,1,15,1
8,1,8,1
10,1,10,1
3,1,3,1
1,1,1,1
7,1,7,1
12,12,12,1
14,1,14,1
18,1,18,1
10,2,10,1
21,19,21,1
5,15,5,1
24,19,24,1
3,1,3,1
25,1,25,1
16,2,16,1
18,1,18,1
1,1,1,1
10,2,10,1
21,20,21,1
1,1,1,1
24,19,24,1
25,2,25,1
11,11,11,0
9,12,9,1
25,1,25,1
0,0,0,0
11,1,11,1
9,12,9,1
16,2,16,1
13,20,13,1
25,1,25,1
4,2,4,1
9,1,9,1
3,1,3,1
14,1,14,1
11,11,11,0
21,19,21,1
13,20,13,1
7,15,7,1
15,1,15,1
0,0,0,0
5,19,5,1
23,1,23,1
3,1,3,1
21,19,21,1
15,1,15,1
5,1,5,1
15,15,15,0
24,19,24,1
22,20,22,1
15,15,15,0
9,1,9,1
4,2,4,1
18,2,18,1
4,2,4,1
1,1,1,1
8,1,8,1
18,2,18,1
2,2,2,1
12,1,12,1
15,15,15,0
17,1,17,1
20,20,20,0
3,1,3,1
20,20,20,0
9,12,9,1
25,1,25,1
5,20,5,1
21,20,21,1
12,1,12,1
20,20,20,0
1,1,1,1
11,11,11,0
19,19,19,0
3,1,3,1
19,19,19,0
14,1,14,1
19,19,19,0
20,20,20,0
3,1,3,1
17,15,17,1
6,2,6,1
3,1,3,1
18,1,18,1
18,2,18,1
12,12,12,1
3,1,3,1
25,2,25,1
22,20,22,1
2,2,2,1
10,2,10,1
9,1,9,1
0,1,0,1
3,1,3,1
2,1,2,1
21,19,21,1
5,20,5,1
0,0,0,0
1,1,1,1
13,20,13,1
20,12,20,1
16,2,16,1
5,19,5,1
5,19,5,1
23,1,23,1
0,0,0,0
14,1,14,1
9,9,9,0
7,20,7,1
12,12,12,1
8,20,8,1
22,22,22,0
13,1,13,1
0,0,0,0
18,1,18,1
15,15,15,0
3,2,3,1
12,2,12,1
19,19,19,0
11,11,11,0
23,1,23,1
6,2,6,1
3,1,3,1
4,2,4,1
13,20,13,1
6,2,6,1
0,0,0,0
4,2,4,1
10,2,10,1
11,2,11,1
19,19,19,0
6,2,6,1
9,12,9,1
5,19,5,1
22,12,22,1
0,0,0,0
10,2,10,1
12,1,12,1
14,2,14,1
18,2,18,1
14,1,14,1
23,1,23,1
22,12,22,1
1,1,1,1
2,2,2,1
5,19,5,1
8,20,8,1
1,1,1,1
15,1,15,1
10,2,10,1
13,20,13,1
24,19,24,1
16,2,16,1
25,1,25,1
5,1,5,1
12,12,12,1
13,20,13,1
22,22,22,0
20,20,20,0
6,2,6,1
6,2,6,1
14,1,14,1
10,1,10,1
22,20,22,1
10,2,10,1
4,2,4,1
21,20,21,1
17,1,17,1
25,1,25,1
18,1,18,1
23,2,23,1
8,2,8,1
16,2,16,1
13,20,13,1
2,2,2,1
16,2,16,1
13,1,13,1
10,2,10,1
18,15,18,1
4,1,4,1
3,1,3,1
23,1,23,1
2,2,2,1
9,12,9,1
1,1,1,1
3,1,3,1
17,2,17,1
25,1,25,1
19,19,19,0
10,2,10,1
6,2,6,1
