y_truth,y_glass,y_black,y_grader
19,19,19,0
8,23,8,1
3,23,3,1
13,20,13,0
6,25,6,1
18,25,18,0
1,23,1,1
0,0,0,0
12,12,12,0
23,23,23,1
14,23,14,1
6,23,6,1
12,23,12,1
17,15,17,1
5,23,5,1
2,23,2,1
19,19,19,0
9,8,9,1
9,8,9,1
7,23,7,0
18,23,18,1
14,23,14,1
9,8,9,1
2,8,2,1
22,22,22,0
7,23,7,1
6,23,6,1
11,11,11,0
11,8,11,1
23,19,23,1
1,23,1,1
6,23,6,1
14,23,14,0
15,15,15,0
6,23,6,1
4,23,4,1
23,23,23,1
21,19,21,0
23,23,23,1
22,23,22,0
6,8,6,0
17,23,17,1
18,25,18,1
24,23,24,1
11,11,11,0
24,19,24,0
9,15,9,1
18,23,18,1
16,23,16,1
16,23,16,1
3,23,3,0
2,23,2,1
11,13,11,0
13,20,13,0
2,8,2,0
4,25,4,1
23,23,23,1
7,23,7,0
11,11,11,0
7,23,7,0
4,23,4,1
24,23,24,1
7,23,7,1
16,23,16,1
9,8,9,1
9,8,9,0
3,23,3,0
17,23,17,1
0,0,0,0
13,20,13,0
12,23,12,0
15,15,15,1
2,23,2,1
15,23,15,1
13,20,13,0
21,23,21,1
12,23,12,1
4,23,4,1
13,23,13,1
24,19,24,0
22,20,22,0
14,23,14,1
13,20,13,0
7,15,7,1
14,23,14,0
13,23,13,1
7,20,7,0
20,20,20,0
24,19,24,0
18,23,18,1
18,23,18,1
19,19,19,0
2,8,2,0
21,20,21,0
19,19,19,0
3,23,3,0
22,20,22,0
8,8,8,0
4,25,4,1
5,15,5,0
8,8,8,0
7,23,7,1
20,20,20,0
2,8,2,0
5,23,5,1
25,25,25,0
23,13,23,1
13,15,13,0
17,13,17,1
1,23,1,1
20,20,20,0
9,23,9,1
5,19,5,0
12,20,12,1
7,20,7,0
0,0,0,0
14,23,14,1
0,20,0,1
23,23,23,0
18,23,18,1
9,8,9,1
10,23,10,1
8,8,8,0
15,15,15,0
19,19,19,0
2,8,2,0
7,20,7,0
11,23,11,1
19,19,19,0
0,0,0,0
8,8,8,0
25,23,25,1
21,23,21,1
12,23,12,1
11,11,11,0
14,23,14,1
1,23,1,1
0,23,0,1
10,23,10,1
19,19,19,0
22,22,22,0
0,0,0,0
4,25,4,1
12,20,12,1
1,23,1,1
12,23,12,1
21,19,21,0
18,23,18,1
2,8,2,1
7,23,7,1
20,20,20,0
15,15,15,1
25,25,25,0
4,23,4,1
13,19,13,0
15,23,15,1
7,23,7,0
19,19,19,0
1,23,1,1
20,20,20,0
18,25,18,0
5,19,5,0
9,8,9,1
17,23,17,1
4,23,4,1
15,23,15,1
8,8,8,0
10,23,10,1
3,23,3,1
1,23,1,1
7,23,7,1
14,23,14,0
18,23,18,1
10,23,10,0
21,19,21,0
5,15,5,0
24,19,24,0
3,23,3,0
25,25,25,0
16,23,16,1
18,23,18,0
1,23,1,1
10,23,10,1
21,20,21,0
1,23,1,1
24,19,24,0
14,23,14,0
9,8,9,1
0,0,0,0
11,23,11,1
9,8,9,1
16,23,16,1
13,20,13,0
25,25,25,0
4,25,4,1
9,23,9,1
14,23,14,1
11,11,11,0
21,19,21,0
23,23,23,1
9,8,9,1
13,20,13,0
7,15,7,1
0,0,0,0
15,23,15,1
0,0,0,0
5,19,5,0
23,23,23,0
3,23,3,1
21,19,21,0
15,23,15,1
5,23,5,0
15,15,15,1
24,19,24,0
22,20,22,0
15,15,15,1
9,23,9,1
4,23,4,1
18,25,18,1
4,25,4,1
1,23,1,1
8,8,8,0
18,23,18,1
18,23,18,1
2,8,2,1
12,23,12,0
15,15,15,1
17,23,17,1
20,23,20,1
20,20,20,0
3,23,3,1
20,20,20,0
9,8,9,1
25,23,25,1
5,20,5,0
21,20,21,0
12,23,12,1
20,20,20,0
1,23,1,1
11,11,11,0
19,19,19,0
3,23,3,1
19,19,19,1
14,23,14,1
19,19,19,0
20,20,20,0
3,23,3,0
17,15,17,1
6,23,6,1
3,23,3,0
18,23,18,1
18,23,18,1
12,20,12,1
12,20,12,1
3,23,3,1
25,23,25,1
22,20,22,0
2,8,2,1
9,23,9,1
0,23,0,1
3,23,3,1
2,23,2,1
21,19,21,0
18,15,18,1
0,0,0,1
1,23,1,1
13,20,13,0
20,20,20,1
18,25,18,0
16,23,16,1
5,19,5,0
23,23,23,1
0,0,0,0
1,23,1,1
14,23,14,0
9,9,9,0
7,20,7,0
12,20,12,0
8,8,8,0
22,22,22,0
13,23,13,1
18,8,18,0
12,23,12,1
19,19,19,0
11,11,11,0
23,23,23,0
6,23,6,1
3,23,3,1
4,25,4,1
13,20,13,0
6,23,6,1
21,19,21,0
0,0,0,0
4,23,4,1
10,23,10,0
12,23,12,1
11,23,11,1
19,19,19,0
6,23,6,1
9,8,9,1
5,19,5,0
22,22,22,1
0,0,0,0
10,23,10,1
15,15,15,0
14,23,14,0
18,25,18,0
2,23,2,1
14,23,14,0
25,25,25,0
23,23,23,1
22,22,22,0
1,23,1,1
2,23,2,0
5,19,5,0
8,8,8,0
1,23,1,0
15,8,15,0
10,23,10,1
20,23,20,0
13,20,13,0
24,19,24,0
8,23,8,1
16,23,16,1
16,23,16,1
25,25,25,0
5,23,5,1
12,20,12,1
3,23,3,1
13,20,13,0
22,22,22,0
20,20,20,0
6,23,6,1
6,23,6,1
14,23,14,1
20,20,20,0
10,23,10,1
10,23,10,0
4,25,4,1
17,23,17,1
25,23,25,1
18,23,18,1
13,23,13,1
23,23,23,1
8,8,8,1
16,23,16,0
13,20,13,0
16,23,16,1
13,23,13,1
10,23,10,0
18,15,18,0
4,8,4,0
3,23,3,1
23,23,23,0
2,8,2,1
9,8,9,1
1,23,1,1
3,23,3,0
17,23,17,1
25,25,25,0
19,19,19,0
10,23,10,0
6,23,6,1
1,23,1,1
23,23,23,1
3,23,3,1
21,19,21,0
8,8,8,0
25,25,25,0
6,23,6,1
9,8,9,1
21,19,21,0
21,23,21,0
9,23,9,1
20,20,20,0
0,0,0,0
19,19,19,0
12,20,12,1
18,23,18,1
12,20,12,1
24,19,24,0
25,23,25,1
12,20,12,0
12,20,12,1
10,23,10,1
1,23,1,1
10,23,10,1
25,19,25,0
5,19,5,0
13,20,13,0
15,15,15,0
2,8,2,1
25,25,25,1
18,25,18,0
22,22,22,0
15,8,15,0
11,11,11,0
20,20,20,0
9,8,9,1
9,8,9,1
25,23,25,1
12,23,12,1
20,23,20,0
9,8,9,1
1,23,1,1
1,23,1,1
16,23,16,1
13,20,13,0
3,23,3,0
1,25,1,1
4,23,4,1
4,23,4,1
13,20,13,0
19,19,19,0
24,20,24,0
7,15,7,0
9,9,9,0
3,20,3,0
6,23,6,1
21,23,21,1
20,20,20,0
20,20,20,0
25,25,25,0
6,23,6,1
11,11,11,0
3,20,3,0
9,23,9,1
10,23,10,1
0,0,0,0
11,11,11,0
23,23,23,0
16,23,16,1
5,19,5,0
22,19,22,0
10,23,10,1
15,15,15,0
21,19,21,0
11,23,11,1
0,0,0,0
1,23,1,1
18,18,18,1
8,23,8,1
1,25,1,1
5,15,5,0
8,23,8,1
12,20,12,1
10,23,10,1
2,8,2,0
7,23,7,0
18,23,18,1
1,23,1,1
14,23,14,0
12,23,12,1
8,8,8,0
22,23,22,1
20,20,20,0
24,19,24,0
15,15,15,0
1,23,1,1
14,23,14,0
24,19,24,0
17,15,17,1
13,13,13,1
1,23,1,1
16,23,16,1
7,23,7,1
9,8,9,1
22,20,22,0
24,19,24,0
5,19,5,0
0,0,0,0
23,23,23,0
25,25,25,0
7,20,7,0
10,23,10,1
9,23,9,1
13,20,13,0
22,23,22,1
24,19,24,0
16,23,16,1
21,19,21,0
3,23,3,1
21,20,21,0
17,15,17,1
11,11,11,0
21,19,21,0
5,15,5,0
1,23,1,1
17,15,17,1
9,23,9,1
24,19,24,1
23,23,23,1
18,25,18,0
